name,entity_ix,template,entity_string,ent_start,ent_end,death_year,n_texts,is_test
Nebuchadnezzar II,4,t4,The royal annals of Nebuchadnezzar II were compiled by his scribes.,20,37,562.0,86,False
Nebuchadnezzar II,4,t5,Tribute was delivered to Nebuchadnezzar II by the governors.,25,42,562.0,86,False
Tiglath-pileser III,5,bare,Tiglath-pileser III,0,19,727.0,75,False
Tiglath-pileser III,5,t1,The king Tiglath-pileser III ruled over the land.,9,28,727.0,75,False
Tiglath-pileser III,5,t2,An inscription commissioned by Tiglath-pileser III.,31,50,727.0,75,False
Tiglath-pileser III,5,t3,This tablet dates to the reign of Tiglath-pileser III.,34,53,727.0,75,False
Tiglath-pileser III,5,t4,The royal annals of Tiglath-pileser III were compiled by his scribes.,20,39,727.0,75,False
Tiglath-pileser III,5,t5,Tribute was delivered to Tiglath-pileser III by the governors.,25,44,727.0,75,False
Nabonidus,6,bare,Nabonidus,0,9,539.0,68,False
Nabonidus,6,t1,The king Nabonidus ruled over the land.,9,18,539.0,68,False
Nabonidus,6,t2,An inscription commissioned by Nabonidus.,31,40,539.0,68,False
Nabonidus,6,t3,This tablet dates to the reign of Nabonidus.,34,43,539.0,68,False
Nabonidus,6,t4,The royal annals of Nabonidus were compiled by his scribes.,20,29,539.0,68,False
Nabonidus,6,t5,Tribute was delivered to Nabonidus by the governors.,25,34,539.0,68,False
Sîn-šarru-iškun,7,bare,Sîn-šarru-iškun,0,15,612.0,21,False
Sîn-šarru-iškun,7,t1,The king Sîn-šarru-iškun ruled over the land.,9,24,612.0,21,False
Sîn-šarru-iškun,7,t2,An inscription commissioned by Sîn-šarru-iškun.,31,46,612.0,21,False
Sîn-šarru-iškun,7,t3,This tablet dates to the reign of Sîn-šarru-iškun.,34,49,612.0,21,False
Sîn-šarru-iškun,7,t4,The royal annals of Sîn-šarru-iškun were compiled by his scribes.,20,35,612.0,21,False
Sîn-šarru-iškun,7,t5,Tribute was delivered to Sîn-šarru-iškun by the governors.,25,40,612.0,21,False
Nabopolassar,8,bare,Nabopolassar,0,12,605.0,15,True
Nabopolassar,8,t1,The king Nabopolassar ruled over the land.,9,21,605.0,15,True
Nabopolassar,8,t2,An inscription commissioned by Nabopolassar.,31,43,605.0,15,True
Nabopolassar,8,t3,This tablet dates to the reign of Nabopolassar.,34,46,605.0,15,True
Nabopolassar,8,t4,The royal annals of Nabopolassar were compiled by his scribes.,20,32,605.0,15,True
Nabopolassar,8,t5,Tribute was delivered to Nabopolassar by the governors.,25,37,605.0,15,True
Shalmaneser V,9,bare,Shalmaneser V,0,13,722.0,12,False
Shalmaneser V,9,t1,The king Shalmaneser V ruled over the land.,9,22,722.0,12,False
Shalmaneser V,9,t2,An inscription commissioned by Shalmaneser V.,31,44,722.0,12,False
Shalmaneser V,9,t3,This tablet dates to the reign of Shalmaneser V.,34,47,722.0,12,False
Shalmaneser V,9,t4,The royal annals of Shalmaneser V were compiled by his scribes.,20,33,722.0,12,False
Shalmaneser V,9,t5,Tribute was delivered to Shalmaneser V by the governors.,25,38,722.0,12,False
Nebuchadnezzar I,10,bare,Nebuchadnezzar I,0,16,1104.0,10,False
Nebuchadnezzar I,10,t1,The king Nebuchadnezzar I ruled over the land.,9,25,1104.0,10,False
Nebuchadnezzar I,10,t2,An inscription commissioned by Nebuchadnezzar I.,31,47,1104.0,10,False
Nebuchadnezzar I,10,t3,This tablet dates to the reign of Nebuchadnezzar I.,34,50,1104.0,10,False
Nebuchadnezzar I,10,t4,The royal annals of Nebuchadnezzar I were compiled by his scribes.,20,36,1104.0,10,False
Nebuchadnezzar I,10,t5,Tribute was delivered to Nebuchadnezzar I by the governors.,25,41,1104.0,10,False
Adad-apla-iddina,11,bare,Adad-apla-iddina,0,16,1047.0,7,False
Adad-apla-iddina,11,t1,The king Adad-apla-iddina ruled over the land.,9,25,1047.0,7,False
Adad-apla-iddina,11,t2,An inscription commissioned by Adad-apla-iddina.,31,47,1047.0,7,False
Adad-apla-iddina,11,t3,This tablet dates to the reign of Adad-apla-iddina.,34,50,1047.0,7,False
Adad-apla-iddina,11,t4,The royal annals of Adad-apla-iddina were compiled by his scribes.,20,36,1047.0,7,False
Adad-apla-iddina,11,t5,Tribute was delivered to Adad-apla-iddina by the governors.,25,41,1047.0,7,False
Neriglissar,12,bare,Neriglissar,0,11,556.0,7,False
Neriglissar,12,t1,The king Neriglissar ruled over the land.,9,20,556.0,7,False
Neriglissar,12,t2,An inscription commissioned by Neriglissar.,31,42,556.0,7,False
Neriglissar,12,t3,This tablet dates to the reign of Neriglissar.,34,45,556.0,7,False
Neriglissar,12,t4,The royal annals of Neriglissar were compiled by his scribes.,20,31,556.0,7,False
Neriglissar,12,t5,Tribute was delivered to Neriglissar by the governors.,25,36,556.0,7,False
Amel-Marduk,13,bare,Amel-Marduk,0,11,560.0,6,False
Amel-Marduk,13,t1,The king Amel-Marduk ruled over the land.,9,20,560.0,6,False
Amel-Marduk,13,t2,An inscription commissioned by Amel-Marduk.,31,42,560.0,6,False
Amel-Marduk,13,t3,This tablet dates to the reign of Amel-Marduk.,34,45,560.0,6,False
Amel-Marduk,13,t4,The royal annals of Amel-Marduk were compiled by his scribes.,20,31,560.0,6,False
Amel-Marduk,13,t5,Tribute was delivered to Amel-Marduk by the governors.,25,36,560.0,6,False
Šamaš-šuma-ukin,14,bare,Šamaš-šuma-ukin,0,15,648.0,6,False
Šamaš-šuma-ukin,14,t1,The king Šamaš-šuma-ukin ruled over the land.,9,24,648.0,6,False
Šamaš-šuma-ukin,14,t2,An inscription commissioned by Šamaš-šuma-ukin.,31,46,648.0,6,False
Šamaš-šuma-ukin,14,t3,This tablet dates to the reign of Šamaš-šuma-ukin.,34,49,648.0,6,False
Šamaš-šuma-ukin,14,t4,The royal annals of Šamaš-šuma-ukin were compiled by his scribes.,20,35,648.0,6,False
Šamaš-šuma-ukin,14,t5,Tribute was delivered to Šamaš-šuma-ukin by the governors.,25,40,648.0,6,False
Nabû-mukin-apli,15,bare,Nabû-mukin-apli,0,15,943.0,6,True
Nabû-mukin-apli,15,t1,The king Nabû-mukin-apli ruled over the land.,9,24,943.0,6,True
Nabû-mukin-apli,15,t2,An inscription commissioned by Nabû-mukin-apli.,31,46,943.0,6,True
Nabû-mukin-apli,15,t3,This tablet dates to the reign of Nabû-mukin-apli.,34,49,943.0,6,True
Nabû-mukin-apli,15,t4,The royal annals of Nabû-mukin-apli were compiled by his scribes.,20,35,943.0,6,True
Nabû-mukin-apli,15,t5,Tribute was delivered to Nabû-mukin-apli by the governors.,25,40,943.0,6,True
Aššur-etel-ilāni,16,bare,Aššur-etel-ilāni,0,16,627.0,5,False
Aššur-etel-ilāni,16,t1,The king Aššur-etel-ilāni ruled over the land.,9,25,627.0,5,False
Aššur-etel-ilāni,16,t2,An inscription commissioned by Aššur-etel-ilāni.,31,47,627.0,5,False
Aššur-etel-ilāni,16,t3,This tablet dates to the reign of Aššur-etel-ilāni.,34,50,627.0,5,False
Aššur-etel-ilāni,16,t4,The royal annals of Aššur-etel-ilāni were compiled by his scribes.,20,36,627.0,5,False
Aššur-etel-ilāni,16,t5,Tribute was delivered to Aššur-etel-ilāni by the governors.,25,41,627.0,5,False
Marduk-apla-iddina II,17,bare,Marduk-apla-iddina II,0,21,710.0,3,False
Marduk-apla-iddina II,17,t1,The king Marduk-apla-iddina II ruled over the land.,9,30,710.0,3,False
Marduk-apla-iddina II,17,t2,An inscription commissioned by Marduk-apla-iddina II.,31,52,710.0,3,False
Marduk-apla-iddina II,17,t3,This tablet dates to the reign of Marduk-apla-iddina II.,34,55,710.0,3,False
Marduk-apla-iddina II,17,t4,The royal annals of Marduk-apla-iddina II were compiled by his scribes.,20,41,710.0,3,False
Marduk-apla-iddina II,17,t5,Tribute was delivered to Marduk-apla-iddina II by the governors.,25,46,710.0,3,False
Cyrus II,18,bare,Cyrus II,0,8,530.0,3,False
Cyrus II,18,t1,The king Cyrus II ruled over the land.,9,17,530.0,3,False
Cyrus II,18,t2,An inscription commissioned by Cyrus II.,31,39,530.0,3,False
Cyrus II,18,t3,This tablet dates to the reign of Cyrus II.,34,42,530.0,3,False
Cyrus II,18,t4,The royal annals of Cyrus II were compiled by his scribes.,20,28,530.0,3,False
Cyrus II,18,t5,Tribute was delivered to Cyrus II by the governors.,25,33,530.0,3,False
Marduk-šapik-zeri,19,bare,Marduk-šapik-zeri,0,17,1069.0,3,True
Marduk-šapik-zeri,19,t1,The king Marduk-šapik-zeri ruled over the land.,9,26,1069.0,3,True
Marduk-šapik-zeri,19,t2,An inscription commissioned by Marduk-šapik-zeri.,31,48,1069.0,3,True
Marduk-šapik-zeri,19,t3,This tablet dates to the reign of Marduk-šapik-zeri.,34,51,1069.0,3,True
Marduk-šapik-zeri,19,t4,The royal annals of Marduk-šapik-zeri were compiled by his scribes.,20,37,1069.0,3,True
Marduk-šapik-zeri,19,t5,Tribute was delivered to Marduk-šapik-zeri by the governors.,25,42,1069.0,3,True
Simbar-Šipak,20,bare,Simbar-Šipak,0,12,1008.0,3,False
Simbar-Šipak,20,t1,The king Simbar-Šipak ruled over the land.,9,21,1008.0,3,False
Simbar-Šipak,20,t2,An inscription commissioned by Simbar-Šipak.,31,43,1008.0,3,False
Simbar-Šipak,20,t3,This tablet dates to the reign of Simbar-Šipak.,34,46,1008.0,3,False
Simbar-Šipak,20,t4,The royal annals of Simbar-Šipak were compiled by his scribes.,20,32,1008.0,3,False
Simbar-Šipak,20,t5,Tribute was delivered to Simbar-Šipak by the governors.,25,37,1008.0,3,False
Marduk-nadin-ahhe,21,bare,Marduk-nadin-ahhe,0,17,1082.0,3,True
Marduk-nadin-ahhe,21,t1,The king Marduk-nadin-ahhe ruled over the land.,9,26,1082.0,3,True
Marduk-nadin-ahhe,21,t2,An inscription commissioned by Marduk-nadin-ahhe.,31,48,1082.0,3,True
Marduk-nadin-ahhe,21,t3,This tablet dates to the reign of Marduk-nadin-ahhe.,34,51,1082.0,3,True
Marduk-nadin-ahhe,21,t4,The royal annals of Marduk-nadin-ahhe were compiled by his scribes.,20,37,1082.0,3,True
Marduk-nadin-ahhe,21,t5,Tribute was delivered to Marduk-nadin-ahhe by the governors.,25,42,1082.0,3,True
Eulmaš-šakin-šumi,22,bare,Eulmaš-šakin-šumi,0,17,988.0,2,False
Eulmaš-šakin-šumi,22,t1,The king Eulmaš-šakin-šumi ruled over the land.,9,26,988.0,2,False
Eulmaš-šakin-šumi,22,t2,An inscription commissioned by Eulmaš-šakin-šumi.,31,48,988.0,2,False
Eulmaš-šakin-šumi,22,t3,This tablet dates to the reign of Eulmaš-šakin-šumi.,34,51,988.0,2,False
Eulmaš-šakin-šumi,22,t4,The royal annals of Eulmaš-šakin-šumi were compiled by his scribes.,20,37,988.0,2,False
Eulmaš-šakin-šumi,22,t5,Tribute was delivered to Eulmaš-šakin-šumi by the governors.,25,42,988.0,2,False
Nabû-šuma-iškun,23,bare,Nabû-šuma-iškun,0,15,748.0,2,False
Nabû-šuma-iškun,23,t1,The king Nabû-šuma-iškun ruled over the land.,9,24,748.0,2,False
Nabû-šuma-iškun,23,t2,An inscription commissioned by Nabû-šuma-iškun.,31,46,748.0,2,False
Nabû-šuma-iškun,23,t3,This tablet dates to the reign of Nabû-šuma-iškun.,34,49,748.0,2,False
Nabû-šuma-iškun,23,t4,The royal annals of Nabû-šuma-iškun were compiled by his scribes.,20,35,748.0,2,False
Nabû-šuma-iškun,23,t5,Tribute was delivered to Nabû-šuma-iškun by the governors.,25,40,748.0,2,False
Bel-ibni,24,bare,Bel-ibni,0,8,700.0,1,True
Bel-ibni,24,t1,The king Bel-ibni ruled over the land.,9,17,700.0,1,True
Bel-ibni,24,t2,An inscription commissioned by Bel-ibni.,31,39,700.0,1,True
Bel-ibni,24,t3,This tablet dates to the reign of Bel-ibni.,34,42,700.0,1,True
Bel-ibni,24,t4,The royal annals of Bel-ibni were compiled by his scribes.,20,28,700.0,1,True
Bel-ibni,24,t5,Tribute was delivered to Bel-ibni by the governors.,25,33,700.0,1,True
Antiochus I,25,bare,Antiochus I,0,11,261.0,1,False
Antiochus I,25,t1,The king Antiochus I ruled over the land.,9,20,261.0,1,False
Antiochus I,25,t2,An inscription commissioned by Antiochus I.,31,42,261.0,1,False
Antiochus I,25,t3,This tablet dates to the reign of Antiochus I.,34,45,261.0,1,False
Antiochus I,25,t4,The royal annals of Antiochus I were compiled by his scribes.,20,31,261.0,1,False
Antiochus I,25,t5,Tribute was delivered to Antiochus I by the governors.,25,36,261.0,1,False
Kaššû-nadin-ahhe,26,bare,Kaššû-nadin-ahhe,0,16,1005.0,1,True
Kaššû-nadin-ahhe,26,t1,The king Kaššû-nadin-ahhe ruled over the land.,9,25,1005.0,1,True
Kaššû-nadin-ahhe,26,t2,An inscription commissioned by Kaššû-nadin-ahhe.,31,47,1005.0,1,True
Kaššû-nadin-ahhe,26,t3,This tablet dates to the reign of Kaššû-nadin-ahhe.,34,50,1005.0,1,True
Kaššû-nadin-ahhe,26,t4,The royal annals of Kaššû-nadin-ahhe were compiled by his scribes.,20,36,1005.0,1,True
Kaššû-nadin-ahhe,26,t5,Tribute was delivered to Kaššû-nadin-ahhe by the governors.,25,41,1005.0,1,True
Itti-Marduk-balaṭu,27,bare,Itti-Marduk-balaṭu,0,18,1132.0,1,True
Itti-Marduk-balaṭu,27,t1,The king Itti-Marduk-balaṭu ruled over the land.,9,27,1132.0,1,True
Itti-Marduk-balaṭu,27,t2,An inscription commissioned by Itti-Marduk-balaṭu.,31,49,1132.0,1,True
Itti-Marduk-balaṭu,27,t3,This tablet dates to the reign of Itti-Marduk-balaṭu.,34,52,1132.0,1,True
Itti-Marduk-balaṭu,27,t4,The royal annals of Itti-Marduk-balaṭu were compiled by his scribes.,20,38,1132.0,1,True
Itti-Marduk-balaṭu,27,t5,Tribute was delivered to Itti-Marduk-balaṭu by the governors.,25,43,1132.0,1,True
Mar-biti-apla-uṣur,28,bare,Mar-biti-apla-uṣur,0,18,979.0,1,False
Mar-biti-apla-uṣur,28,t1,The king Mar-biti-apla-uṣur ruled over the land.,9,27,979.0,1,False
Mar-biti-apla-uṣur,28,t2,An inscription commissioned by Mar-biti-apla-uṣur.,31,49,979.0,1,False
Mar-biti-apla-uṣur,28,t3,This tablet dates to the reign of Mar-biti-apla-uṣur.,34,52,979.0,1,False
Mar-biti-apla-uṣur,28,t4,The royal annals of Mar-biti-apla-uṣur were compiled by his scribes.,20,38,979.0,1,False
Mar-biti-apla-uṣur,28,t5,Tribute was delivered to Mar-biti-apla-uṣur by the governors.,25,43,979.0,1,False
Enlil-nadin-apli,29,bare,Enlil-nadin-apli,0,16,1100.0,1,False
Enlil-nadin-apli,29,t1,The king Enlil-nadin-apli ruled over the land.,9,25,1100.0,1,False
Enlil-nadin-apli,29,t2,An inscription commissioned by Enlil-nadin-apli.,31,47,1100.0,1,False
Enlil-nadin-apli,29,t3,This tablet dates to the reign of Enlil-nadin-apli.,34,50,1100.0,1,False
Enlil-nadin-apli,29,t4,The royal annals of Enlil-nadin-apli were compiled by his scribes.,20,36,1100.0,1,False
Enlil-nadin-apli,29,t5,Tribute was delivered to Enlil-nadin-apli by the governors.,25,41,1100.0,1,False
Ninurta-kudurri-usur I,30,bare,Ninurta-kudurri-usur I,0,22,985.0,1,False
Ninurta-kudurri-usur I,30,t1,The king Ninurta-kudurri-usur I ruled over the land.,9,31,985.0,1,False
Ninurta-kudurri-usur I,30,t2,An inscription commissioned by Ninurta-kudurri-usur I.,31,53,985.0,1,False
Ninurta-kudurri-usur I,30,t3,This tablet dates to the reign of Ninurta-kudurri-usur I.,34,56,985.0,1,False
Ninurta-kudurri-usur I,30,t4,The royal annals of Ninurta-kudurri-usur I were compiled by his scribes.,20,42,985.0,1,False
Ninurta-kudurri-usur I,30,t5,Tribute was delivered to Ninurta-kudurri-usur I by the governors.,25,47,985.0,1,False
Nabû-šumu-libur,31,bare,Nabû-šumu-libur,0,15,1026.0,1,False
Nabû-šumu-libur,31,t1,The king Nabû-šumu-libur ruled over the land.,9,24,1026.0,1,False
Nabû-šumu-libur,31,t2,An inscription commissioned by Nabû-šumu-libur.,31,46,1026.0,1,False
Nabû-šumu-libur,31,t3,This tablet dates to the reign of Nabû-šumu-libur.,34,49,1026.0,1,False
Nabû-šumu-libur,31,t4,The royal annals of Nabû-šumu-libur were compiled by his scribes.,20,35,1026.0,1,False
Nabû-šumu-libur,31,t5,Tribute was delivered to Nabû-šumu-libur by the governors.,25,40,1026.0,1,False
Nabû-naṣir,32,bare,Nabû-naṣir,0,10,734.0,1,False
Nabû-naṣir,32,t1,The king Nabû-naṣir ruled over the land.,9,19,734.0,1,False
Nabû-naṣir,32,t2,An inscription commissioned by Nabû-naṣir.,31,41,734.0,1,False
Nabû-naṣir,32,t3,This tablet dates to the reign of Nabû-naṣir.,34,44,734.0,1,False
Nabû-naṣir,32,t4,The royal annals of Nabû-naṣir were compiled by his scribes.,20,30,734.0,1,False
Nabû-naṣir,32,t5,Tribute was delivered to Nabû-naṣir by the governors.,25,35,734.0,1,False
Ninurta-nadin-šumi,33,bare,Ninurta-nadin-šumi,0,18,1126.0,1,False
Ninurta-nadin-šumi,33,t1,The king Ninurta-nadin-šumi ruled over the land.,9,27,1126.0,1,False
Ninurta-nadin-šumi,33,t2,An inscription commissioned by Ninurta-nadin-šumi.,31,49,1126.0,1,False
Ninurta-nadin-šumi,33,t3,This tablet dates to the reign of Ninurta-nadin-šumi.,34,52,1126.0,1,False
Ninurta-nadin-šumi,33,t4,The royal annals of Ninurta-nadin-šumi were compiled by his scribes.,20,38,1126.0,1,False
Ninurta-nadin-šumi,33,t5,Tribute was delivered to Ninurta-nadin-šumi by the governors.,25,43,1126.0,1,False
