,headline,word_count,pub_date,print_section,print_page,section,news_desk,year,is_trump,is_biden,is_coronavirus,is_covid,is_obama,is_clinton,is_iraq,is_afghanistan,is_china,is_iran,is_test
492,Iranian Filmmakers Keep Focus on the Turmoil.,1391,2010-01-04T02:53:59+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,True,True
523,"4 Afghan War Veterans Look Back, and Ahead.",1574,2010-01-04T03:29:02+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
548,Leader of Junta Confirms Myanmar Is Planning 2010 Elections.,512,2010-01-04T08:44:20+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
665,Standoff Builds Over Afghan Cabinet.,739,2010-01-04T18:48:02+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
733,Attacker in Afghanistan Was a Double Agent.,1271,2010-01-04T21:53:46+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,True,False,False,True
801,"In Yemen, U.S. Faces Leader Who Puts Family First.",1096,2010-01-05T01:47:31+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
802,"In Russia, a Bankrupt Town Keeps Humming.",1408,2010-01-05T01:51:04+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
807,"Oil Feud Reflects Growing Rift Between Russia and Belarus, Once Close Allies.",581,2010-01-05T01:59:14+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
1135,Iran Shielding Its Nuclear Efforts in Maze of Tunnels.,2057,2010-01-06T02:02:21+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,True,False
1136,U.S. Saw a Path to Qaeda Chiefs Before Bombing.,939,2010-01-06T02:08:19+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
1476,"Fighting Trend, China Is Luring Scientists Home.",1477,2010-01-07T00:58:35+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,True,False,True
1510,Suicide Bombing Puts a Rare Face on C.I.A.’s Work.,1251,2010-01-07T02:20:35+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
1649,Move Made to Bar Iraqi From Ballot.,852,2010-01-07T12:11:48+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,True,False,False,False,True
1739,6 Cited in Honduran Leader’s Ouster.,539,2010-01-07T18:52:08+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
1870,China Turns Drug Rehab Into a Punishing Ordeal.,965,2010-01-07T23:54:50+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,True,False,False
2039,Change in Japan a Tough Task for Finance Minister.,954,2010-01-08T10:39:51+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
2040,Myanmar Is Reported to Sentence 2 to Death.,566,2010-01-08T10:47:15+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
2350,"Across Divide in Iraq, a Sunni Courts Shiites.",1109,2010-01-09T01:24:02+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,True,False,False,False,True
2423,Chávez Devalues Currency Amid Oil Fall.,495,2010-01-09T02:59:30+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
2468,Video Links Taliban in Pakistan to C.I.A. Attack.,1385,2010-01-09T11:22:27+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
2641,British Journalist and American Marine Die in Afghan Bomb Explosion.,787,2010-01-10T15:11:43+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
2646,Churches Attacked Amid Furor in Malaysia.,1123,2010-01-10T18:07:57+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
2647,Yemen’s President Says Government Is Willing to Talk to Disarmed Qaeda Fighters.,715,2010-01-10T18:13:22+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
2675,Panel Ties Ally of Iran Leader to Protester Deaths.,767,2010-01-10T22:45:54+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,True,False
2695,Airlines Refuse to Transport Radical Cleric.,368,2010-01-11T00:36:46+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
2730,Train Line Across the Balkans Restitches a Region.,1169,2010-01-11T02:55:29+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
2839,War’s Fury No Longer Pauses for Afghan Winter.,1090,2010-01-11T13:30:27+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
2960,"Europe, in Grip of Low Temperatures, Faces Flaring Tempers and Disrupted Travel.",650,2010-01-11T19:40:15+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
3035,New Film May Sway Brazil’s Vote on President.,1230,2010-01-11T22:17:06+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
3089,"As China Rises, Fears Grow on Whether Boom Can Endure.",1072,2010-01-12T00:12:14+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,True,False,True
3093,5 Convicted in Britain Over Protest at Parade.,665,2010-01-12T00:30:13+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
3105,Georgia: Leaders of a Mutiny Receive Prison Sentences.,86,2010-01-12T01:10:19+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
3124,Russian Dissident’s Passion Endures Despite Tests.,1322,2010-01-12T02:12:10+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
3436,Fierce Quake Devastates Haitian Capital.,1085,2010-01-12T23:39:47+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
3444,"Google, Citing Attack, Threatens to Exit China.",1202,2010-01-12T23:52:11+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,True,False,True
3579,Haiti Lies in Ruins; Grim Search for Untold Dead.,1301,2010-01-13T05:53:43+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
3619,Court Is Told Mayor Aided in Massacre of Filipinos.,666,2010-01-13T10:24:22+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
3735,"Israel and Turkey Patch Up Latest Rift, Over Diplomatic Slight.",933,2010-01-13T18:35:33+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
3901,U.S. Companies Join Race on Iraqi Oil Bonanza.,1080,2010-01-14T00:30:46+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,True,False,False,False,False
3924,Agony Sets In as Medics Focus on the Survivors.,487,2010-01-14T01:28:57+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
4032,Tensions Mount in Devastated Capital as Nations Step Up Aid Pledges to Haiti.,1363,2010-01-14T09:49:54+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
4201,Israel Raids Polygamist Compound.,402,2010-01-14T20:46:11+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
4308,Toppled in Ukraine but Nearing a Comeback.,1167,2010-01-15T00:45:45+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
4349,Iraqi Commission Bars Nearly 500 Candidates.,585,2010-01-15T01:44:07+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,True,False,False,False,False
4378,"After Google’s Stand on China, U.S. Treads Lightly.",1124,2010-01-15T02:18:11+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,True,False,False
4457,Patience Wears Thin as Desperation Grows.,1312,2010-01-15T08:02:24+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
4522,Chinese Lawyer Declared ‘Missing’ After Arrest.,637,2010-01-15T15:20:03+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
4621,"Senior Qaeda Figures Killed in Attack, Yemen Says.",789,2010-01-15T18:44:40+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
4786,Envoys to Meet on Possible Sanctions Over Iran Nuclear Program.,502,2010-01-16T00:44:00+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,True,False
4789,Political Turmoil Follows Barring of Hundreds From Iraq Ballot.,1095,2010-01-16T00:48:23+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,True,False,False,False,False
4834,"For the Trapped, Rescue Is but the First Hurdle.",1391,2010-01-16T02:17:30+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
4900,Officials Strain to Distribute Aid to Haiti as Violence Rises.,1546,2010-01-16T15:03:06+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
4999,Lonely Trek to Radicalism for Terror Suspect.,2332,2010-01-16T23:20:36+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
5017,Looting Flares Where Authority Breaks Down.,816,2010-01-17T01:22:31+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
5070,Karzai Closing In on Taliban Reconciliation Plan.,1080,2010-01-17T16:01:09+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
5085,Hussein Aide Again Given a Sentence of Death.,351,2010-01-17T19:47:41+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
5156,"Amid Rubble, Seeking a Refuge in Faith.",837,2010-01-18T01:59:27+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
5161,Rescues Beat Dimming Odds in Haiti but Fall Short of Need.,1612,2010-01-18T02:05:25+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
5164,Right-Wing Businessman Wins Chile’s Presidency.,750,2010-01-18T02:11:08+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
5249,Kabul Attack Shows Resilience of Afghan Militants.,1171,2010-01-18T06:54:03+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
5257,Man Who Shot Pope in 1981 Is Freed.,654,2010-01-18T10:15:58+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
5405,"After Hearing in Pakistan, 5 Americans Allege Torture.",289,2010-01-19T00:10:19+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
5419,"Taliban Leaders Unlikely to Accept Offer, Gates Says.",655,2010-01-19T01:24:28+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
5421,"At Yemen College, Scholarship and Jihadist Ideas.",1237,2010-01-19T01:33:02+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
5423,The Rise and Fall of a Sunni in Baghdad.,1081,2010-01-19T01:36:38+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
5426,"As Haitians Flee, the Dead Go Uncounted.",1100,2010-01-19T01:58:49+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
5573,China Curtails Run of ‘Avatar’ as It Fills Theaters.,552,2010-01-19T14:21:03+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,True,False,False
5595,"U.S. Troops Patrol Haiti, Filling a Void.",1417,2010-01-19T15:35:50+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
5611,Japan Stalls as Leaders Are Jolted by Old Guard.,1049,2010-01-19T16:36:22+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
5801,"After Attack, Afghans Question Motives or See Conspiracies.",939,2010-01-20T01:50:33+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
5804,China to Scan Text Messages to Spot ‘Unhealthy Content’.,491,2010-01-20T02:00:44+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,True,False,False
5947,Nightmare in Haiti: Untreated Illness and Injury.,1021,2010-01-20T13:26:26+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
6168,Taliban Overhaul Image to Win Allies.,1401,2010-01-20T23:49:10+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
6391,Aid Groups Focus on Haiti’s Homeless.,1317,2010-01-21T16:46:31+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
6428,Loyalties of Those Killed in Afghan Raid Remain Unclear.,705,2010-01-21T18:08:24+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
6509,Diplomatic Hand Extended: Furor May Erupt if Shaken.,326,2010-01-21T21:41:30+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7059,C.I.A. Deaths Prompt Surge in U.S. Drone Strikes.,1116,2010-01-22T23:55:24+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
7065,U.S. Delays Setting Up More Anti-Taliban Militias.,528,2010-01-23T00:09:35+0000,A,3,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7070,Study Points to Disease as Main Killer in Darfur.,525,2010-01-23T00:37:49+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7107,"Haiti’s Icon of Power, Now Palace for Ghosts.",882,2010-01-23T01:16:01+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7132,China Rebuffs Clinton on Internet Warning.,958,2010-01-23T02:27:08+0000,A,4,World,Foreign,2010,False,False,False,False,False,True,False,False,True,False,False
7214,"Foot on Bomb, Marine Defies a Taliban Trap.",1408,2010-01-23T16:53:26+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7216,Two U.S. Soldiers Are Among 17 Afghan Deaths.,473,2010-01-23T17:01:03+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7259,Cultural Riches Turn to Rubble in Haiti Quake.,1073,2010-01-23T20:32:27+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
7378,Mayor-Elect in Okinawan City Opposes U.S. Base.,471,2010-01-24T17:14:08+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7384,"As Haiti’s Focus Turns to Shelter, Families Press Search for Missing.",926,2010-01-24T18:29:42+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7398,Netanyahu Says Some Settlements to Stay in Israel.,681,2010-01-24T21:05:34+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7444,Christmas Bombing Try Is Hailed by bin Laden.,996,2010-01-25T01:13:22+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7446,General Puts Up a Fight in Sri Lanka’s Election.,1020,2010-01-25T01:24:00+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7489,"On Street Tracing Haiti’s Pain, Survival Goes On.",2144,2010-01-25T03:24:40+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7494,Ethiopian Airliner Crashes Near Beirut.,429,2010-01-25T03:35:49+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7547,More Tainted Dairy Products Are Found in Chinese Stores.,453,2010-01-25T09:43:58+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
7586,Lawyer Says Hong Kong Violated Chinese Dissident’s Rights.,711,2010-01-25T12:43:05+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
7807,Stitching the Narrative of a Revolution.,1086,2010-01-26T00:34:40+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7818,"Fighting Starvation, Haitians Share Portions.",1149,2010-01-26T01:14:03+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7825,Clock Ticks for Nepal to Settle Its Future.,1162,2010-01-26T01:36:23+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
7830,"In Digital Combat, U.S. Finds No Easy Deterrent.",2092,2010-01-26T01:59:37+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
7842,U.S. Envoy’s Cables Show Worries on Afghan Plans.,1075,2010-01-26T02:21:36+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
8223,Haiti’s Children Adrift in World of Chaos.,1181,2010-01-27T02:11:55+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
8665,"Afghan Tribe, Vowing to Fight Taliban, to Get U.S. Aid in Return.",1232,2010-01-28T02:03:45+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
8814,War Plan for Karzai: Reach Out to Taliban.,1168,2010-01-28T12:28:46+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
9019,"Battling an Image and Reality, Berlusconi Takes on the Mafia (Real and Fictional).",516,2010-01-28T23:04:58+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
9065,Israel Signals Tougher Line on West Bank Protests.,1100,2010-01-29T01:31:19+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
9181,"Citing 9/11, Blair Defends Legacy at Iraq Inquiry.",1065,2010-01-29T08:59:55+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,True,False,False,False,False
9289,Clinton Warns China on Iran Sanctions.,854,2010-01-29T17:16:40+0000,A,5,World,Foreign,2010,False,False,False,False,False,True,False,False,True,True,False
9298,Marines Invest in Local Afghan Projects.,1108,2010-01-29T17:24:47+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
9447,U.S. Approval of Taiwan Arms Sales Angers China.,812,2010-01-29T23:07:43+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,True,False,False
9497,China Insists That Its Steps on Climate Be Voluntary.,1082,2010-01-30T01:04:26+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,True,False,False
9630,U.S. Speeding Up Missile Defenses in Persian Gulf.,1017,2010-01-30T17:24:58+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
9775,U.S. to Resume Airlift of Injured Haitians.,916,2010-01-31T19:21:48+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
9791,Pakistani Taliban Leader Is Reported Dead.,936,2010-01-31T21:49:14+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
9799,U.S. Arms for Taiwan Send Beijing a Message.,1158,2010-01-31T22:27:30+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
9830,"In Egypt, Religious Clashes Are Off the Record.",1086,2010-02-01T00:55:37+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
9853,Men Defend Historic Mandela Site ... From Rabbits.,875,2010-02-01T02:05:22+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
9855,"In Quake’s Wake, Haiti Faces Leadership Void.",1097,2010-02-01T02:12:32+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
9858,"Ration Cards in Hand, Thousands Welcome Aid.",515,2010-02-01T02:17:37+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
9864,U.S. Examines Whether Blackwater Tried Bribery.,1308,2010-02-01T02:32:42+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
9967,Scores Killed in Attack on Shiite Pilgrims in Iraq.,785,2010-02-01T11:50:01+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,True,False,False,False,False
10094,"Case Stokes Haiti’s Fear for Children, and Itself.",1214,2010-02-01T19:55:56+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
10111,Paternity Claim Challenges Zuma’s Stance on AIDS.,867,2010-02-01T20:42:37+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
10165,"As Marines Move In, Taliban Fight a Shadowy War.",1317,2010-02-01T22:31:12+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
10182,Israel Rebukes 2 for U.N. Gaza Compound Shelling.,861,2010-02-01T23:10:33+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
10447,Officials Visit Russian City Amid Protests.,552,2010-02-02T19:35:52+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
10484,"After Massacre, Guinea Sees Hope of Lifted Chains.",1127,2010-02-02T21:30:45+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
10556,China’s Defiance Stirs Fears for Missing Dissident.,1130,2010-02-03T01:07:01+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,True,False,False
10586,"With Raw Recruits, Afghan Police Buildup Falters.",1402,2010-02-03T02:27:36+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
10675,Soldier Deaths Draw Focus to U.S. in Pakistan.,1122,2010-02-03T08:50:47+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
10721,Economic Measures by North Korea Prompt New Hardships and Unrest.,1015,2010-02-03T14:06:51+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
10798,"Nepal Waits as 2 Armies, Former Foes, Become One.",1022,2010-02-03T18:33:41+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
10806,"For Scots, a Scourge Unleashed by a Bottle.",1023,2010-02-03T18:51:43+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
10914,Research Group’s Report Urges Radical Changes in Russia.,531,2010-02-04T00:40:30+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
11161,Haiti Charges Americans With Child Abduction.,1288,2010-02-04T17:35:24+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
11220,Romanians Accept Plan for Basing of Missiles.,575,2010-02-04T20:44:00+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
11335,"Even Where Pakistani Law Exists, Taliban Find a Porous Border.",1051,2010-02-05T01:33:23+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
11376,"Rebuffing Scholars, Germany Vows to Keep Hitler Out of Print.",585,2010-02-05T02:36:54+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
11570,Ukraine’s Premier Stumps for Her Turn at the Top.,1156,2010-02-05T16:55:44+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
11655,Russia Cool to U.S. Plan for Missiles in Romania.,618,2010-02-05T20:28:39+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
11695,Haiti Hospital’s Fight Against TB Falls to One Man.,1093,2010-02-05T21:58:03+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
11712,Euro Debt Crisis Is Political Test for Bloc.,1230,2010-02-05T22:29:24+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
11808,Russia: Putin Warns His Party on ‘Promises’.,150,2010-02-06T01:49:17+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
11810,Russia: 5 Soldiers Are Killed in Chechnya.,104,2010-02-06T01:49:58+0000,A,5,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
11812,"Bruised Maid Dies at 12, and Pakistan Seethes.",1020,2010-02-06T02:02:02+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
11816,"With Taliban Leader Reported Dead, New Pakistani Figure Emerges.",716,2010-02-06T02:06:54+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
11984,Bleak Portrait of Haiti Orphanages Raises Fears.,1544,2010-02-06T22:03:33+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
12059,Iran’s President Moves Ahead on Uranium Processing.,940,2010-02-07T16:11:07+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,True,False
12117,Americans Held in Haiti Are Divided Over Leader.,613,2010-02-08T01:01:04+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
12121,Cry for Self-Rule by Tamils Is Muffled by Reality.,960,2010-02-08T01:28:38+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,True
12130,"On Afghan Road, Scenes of Beauty and Death.",1106,2010-02-08T01:53:59+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
12221,"For Kremlin, Ukraine Election Cuts Two Ways.",1021,2010-02-08T08:30:44+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
12333,Sri Lanka Arrests Defeated Candidate.,630,2010-02-08T18:15:50+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
12419,Paperwork Hinders Airlifts of Ill Haitian Children.,1117,2010-02-08T22:06:50+0000,A,1,World,Foreign,2010,False,False,False,False,False,False,False,False,False,False,False
12490,"In Northern Iraq, a Vote Seems Likely to Split.",1099,2010-02-09T01:47:04+0000,A,4,World,Foreign,2010,False,False,False,False,False,False,True,False,False,False,False
