name,entity_ix,template,entity_string,ent_start,ent_end,longitude,latitude,region,n_texts,is_test
Borsippa,8,t1,The city of Borsippa stood on the river.,12,20,44.341,32.388,Babylonia,24,False
Borsippa,8,t2,A tablet excavated at Borsippa.,22,30,44.341,32.388,Babylonia,24,False
Borsippa,8,t3,The temple at Borsippa was rebuilt.,14,22,44.341,32.388,Babylonia,24,False
Borsippa,8,t4,Merchants travelled to Borsippa with their goods.,23,31,44.341,32.388,Babylonia,24,False
Borsippa,8,t5,The provincial governor resided in Borsippa.,35,43,44.341,32.388,Babylonia,24,False
Ur,9,bare,Ur,0,2,46.103,30.962,Babylonia,21,False
Ur,9,t1,The city of Ur stood on the river.,12,14,46.103,30.962,Babylonia,21,False
Ur,9,t2,A tablet excavated at Ur.,22,24,46.103,30.962,Babylonia,21,False
Ur,9,t3,The temple at Ur was rebuilt.,14,16,46.103,30.962,Babylonia,21,False
Ur,9,t4,Merchants travelled to Ur with their goods.,23,25,46.103,30.962,Babylonia,21,False
Ur,9,t5,The provincial governor resided in Ur.,35,37,46.103,30.962,Babylonia,21,False
Uruk,10,bare,Uruk,0,4,45.636,31.322,Babylonia,18,True
Uruk,10,t1,The city of Uruk stood on the river.,12,16,45.636,31.322,Babylonia,18,True
Uruk,10,t2,A tablet excavated at Uruk.,22,26,45.636,31.322,Babylonia,18,True
Uruk,10,t3,The temple at Uruk was rebuilt.,14,18,45.636,31.322,Babylonia,18,True
Uruk,10,t4,Merchants travelled to Uruk with their goods.,23,27,45.636,31.322,Babylonia,18,True
Uruk,10,t5,The provincial governor resided in Uruk.,35,39,45.636,31.322,Babylonia,18,True
Pārśa,11,bare,Pārśa,0,5,52.89,29.935,Iran/Persia,10,False
Pārśa,11,t1,The city of Pārśa stood on the river.,12,17,52.89,29.935,Iran/Persia,10,False
Pārśa,11,t2,A tablet excavated at Pārśa.,22,27,52.89,29.935,Iran/Persia,10,False
Pārśa,11,t3,The temple at Pārśa was rebuilt.,14,19,52.89,29.935,Iran/Persia,10,False
Pārśa,11,t4,Merchants travelled to Pārśa with their goods.,23,28,52.89,29.935,Iran/Persia,10,False
Pārśa,11,t5,The provincial governor resided in Pārśa.,35,40,52.89,29.935,Iran/Persia,10,False
Nippur,12,bare,Nippur,0,6,45.231,32.126,Babylonia,9,False
Nippur,12,t1,The city of Nippur stood on the river.,12,18,45.231,32.126,Babylonia,9,False
Nippur,12,t2,A tablet excavated at Nippur.,22,28,45.231,32.126,Babylonia,9,False
Nippur,12,t3,The temple at Nippur was rebuilt.,14,20,45.231,32.126,Babylonia,9,False
Nippur,12,t4,Merchants travelled to Nippur with their goods.,23,29,45.231,32.126,Babylonia,9,False
Nippur,12,t5,The provincial governor resided in Nippur.,35,41,45.231,32.126,Babylonia,9,False
Assyria,13,bare,Assyria,0,7,43.3,35.5,Assyria,9,True
Assyria,13,t1,The city of Assyria stood on the river.,12,19,43.3,35.5,Assyria,9,True
Assyria,13,t2,A tablet excavated at Assyria.,22,29,43.3,35.5,Assyria,9,True
Assyria,13,t3,The temple at Assyria was rebuilt.,14,21,43.3,35.5,Assyria,9,True
Assyria,13,t4,Merchants travelled to Assyria with their goods.,23,30,43.3,35.5,Assyria,9,True
Assyria,13,t5,The provincial governor resided in Assyria.,35,42,43.3,35.5,Assyria,9,True
Harran,14,bare,Harran,0,6,39.031,36.864,Upper Mesopotamia,9,False
Harran,14,t1,The city of Harran stood on the river.,12,18,39.031,36.864,Upper Mesopotamia,9,False
Harran,14,t2,A tablet excavated at Harran.,22,28,39.031,36.864,Upper Mesopotamia,9,False
Harran,14,t3,The temple at Harran was rebuilt.,14,20,39.031,36.864,Upper Mesopotamia,9,False
Harran,14,t4,Merchants travelled to Harran with their goods.,23,29,39.031,36.864,Upper Mesopotamia,9,False
Harran,14,t5,The provincial governor resided in Harran.,35,41,39.031,36.864,Upper Mesopotamia,9,False
Tarbisu,15,bare,Tarbisu,0,7,43.1,36.42,Assyria,7,False
Tarbisu,15,t1,The city of Tarbisu stood on the river.,12,19,43.1,36.42,Assyria,7,False
Tarbisu,15,t2,A tablet excavated at Tarbisu.,22,29,43.1,36.42,Assyria,7,False
Tarbisu,15,t3,The temple at Tarbisu was rebuilt.,14,21,43.1,36.42,Assyria,7,False
Tarbisu,15,t4,Merchants travelled to Tarbisu with their goods.,23,30,43.1,36.42,Assyria,7,False
Tarbisu,15,t5,The provincial governor resided in Tarbisu.,35,42,43.1,36.42,Assyria,7,False
Tayma,16,bare,Tayma,0,5,38.549,27.629,NW Arabia,6,False
Tayma,16,t1,The city of Tayma stood on the river.,12,17,38.549,27.629,NW Arabia,6,False
Tayma,16,t2,A tablet excavated at Tayma.,22,27,38.549,27.629,NW Arabia,6,False
Tayma,16,t3,The temple at Tayma was rebuilt.,14,19,38.549,27.629,NW Arabia,6,False
Tayma,16,t4,Merchants travelled to Tayma with their goods.,23,28,38.549,27.629,NW Arabia,6,False
Tayma,16,t5,The provincial governor resided in Tayma.,35,40,38.549,27.629,NW Arabia,6,False
Jerwan Aqueduct,17,bare,Jerwan Aqueduct,0,15,43.3,36.583,Assyria,5,False
Jerwan Aqueduct,17,t1,The city of Jerwan Aqueduct stood on the river.,12,27,43.3,36.583,Assyria,5,False
Jerwan Aqueduct,17,t2,A tablet excavated at Jerwan Aqueduct.,22,37,43.3,36.583,Assyria,5,False
Jerwan Aqueduct,17,t3,The temple at Jerwan Aqueduct was rebuilt.,14,29,43.3,36.583,Assyria,5,False
Jerwan Aqueduct,17,t4,Merchants travelled to Jerwan Aqueduct with their goods.,23,38,43.3,36.583,Assyria,5,False
Jerwan Aqueduct,17,t5,The provincial governor resided in Jerwan Aqueduct.,35,50,43.3,36.583,Assyria,5,False
Susa,18,bare,Susa,0,4,48.249,32.19,Iran/Elam,4,False
Susa,18,t1,The city of Susa stood on the river.,12,16,48.249,32.19,Iran/Elam,4,False
Susa,18,t2,A tablet excavated at Susa.,22,26,48.249,32.19,Iran/Elam,4,False
Susa,18,t3,The temple at Susa was rebuilt.,14,18,48.249,32.19,Iran/Elam,4,False
Susa,18,t4,Merchants travelled to Susa with their goods.,23,27,48.249,32.19,Iran/Elam,4,False
Susa,18,t5,The provincial governor resided in Susa.,35,39,48.249,32.19,Iran/Elam,4,False
Kish,19,bare,Kish,0,4,44.604,32.543,Babylonia,4,False
Kish,19,t1,The city of Kish stood on the river.,12,16,44.604,32.543,Babylonia,4,False
Kish,19,t2,A tablet excavated at Kish.,22,26,44.604,32.543,Babylonia,4,False
Kish,19,t3,The temple at Kish was rebuilt.,14,18,44.604,32.543,Babylonia,4,False
Kish,19,t4,Merchants travelled to Kish with their goods.,23,27,44.604,32.543,Babylonia,4,False
Kish,19,t5,The provincial governor resided in Kish.,35,39,44.604,32.543,Babylonia,4,False
Larsa,20,bare,Larsa,0,5,45.854,31.288,Babylonia,4,False
Larsa,20,t1,The city of Larsa stood on the river.,12,17,45.854,31.288,Babylonia,4,False
Larsa,20,t2,A tablet excavated at Larsa.,22,27,45.854,31.288,Babylonia,4,False
Larsa,20,t3,The temple at Larsa was rebuilt.,14,19,45.854,31.288,Babylonia,4,False
Larsa,20,t4,Merchants travelled to Larsa with their goods.,23,28,45.854,31.288,Babylonia,4,False
Larsa,20,t5,The provincial governor resided in Larsa.,35,40,45.854,31.288,Babylonia,4,False
Marad,21,bare,Marad,0,5,44.783,32.07,Babylonia,4,False
Marad,21,t1,The city of Marad stood on the river.,12,17,44.783,32.07,Babylonia,4,False
Marad,21,t2,A tablet excavated at Marad.,22,27,44.783,32.07,Babylonia,4,False
Marad,21,t3,The temple at Marad was rebuilt.,14,19,44.783,32.07,Babylonia,4,False
Marad,21,t4,Merchants travelled to Marad with their goods.,23,28,44.783,32.07,Babylonia,4,False
Marad,21,t5,The provincial governor resided in Marad.,35,40,44.783,32.07,Babylonia,4,False
Melidu,22,bare,Melidu,0,6,38.362,38.382,Anatolia,4,False
Melidu,22,t1,The city of Melidu stood on the river.,12,18,38.362,38.382,Anatolia,4,False
Melidu,22,t2,A tablet excavated at Melidu.,22,28,38.362,38.382,Anatolia,4,False
Melidu,22,t3,The temple at Melidu was rebuilt.,14,20,38.362,38.382,Anatolia,4,False
Melidu,22,t4,Merchants travelled to Melidu with their goods.,23,29,38.362,38.382,Anatolia,4,False
Melidu,22,t5,The provincial governor resided in Melidu.,35,41,38.362,38.382,Anatolia,4,False
Carchemish,23,bare,Carchemish,0,10,38.015,36.829,Upper Mesopotamia,3,False
Carchemish,23,t1,The city of Carchemish stood on the river.,12,22,38.015,36.829,Upper Mesopotamia,3,False
Carchemish,23,t2,A tablet excavated at Carchemish.,22,32,38.015,36.829,Upper Mesopotamia,3,False
Carchemish,23,t3,The temple at Carchemish was rebuilt.,14,24,38.015,36.829,Upper Mesopotamia,3,False
Carchemish,23,t4,Merchants travelled to Carchemish with their goods.,23,33,38.015,36.829,Upper Mesopotamia,3,False
Carchemish,23,t5,The provincial governor resided in Carchemish.,35,45,38.015,36.829,Upper Mesopotamia,3,False
Me-Turan,24,bare,Me-Turan,0,8,45.0,34.0,Diyala,3,True
Me-Turan,24,t1,The city of Me-Turan stood on the river.,12,20,45.0,34.0,Diyala,3,True
Me-Turan,24,t2,A tablet excavated at Me-Turan.,22,30,45.0,34.0,Diyala,3,True
Me-Turan,24,t3,The temple at Me-Turan was rebuilt.,14,22,45.0,34.0,Diyala,3,True
Me-Turan,24,t4,Merchants travelled to Me-Turan with their goods.,23,31,45.0,34.0,Diyala,3,True
Me-Turan,24,t5,The provincial governor resided in Me-Turan.,35,43,45.0,34.0,Diyala,3,True
