wiki_id,name,description,gender,country,occupation,birth_year,death_year,cause_of_death,age,death_century,death_decade,is_test
Q410,Carl Sagan,"American astrophysicist, cosmologist, author and science educator",Male,United States of America,researcher,1934,1996.0,natural causes,62.0,1900,199.0,True
Q440,Salvador Allende,28th president of Chile (1908–1973),Male,Chile,politician,1908,1973.0,suicide,65.0,1900,197.0,False
Q448,Denis Diderot,French Enlightenment philosopher and encyclopædist,Male,France; Kingdom of France,researcher,1713,1784.0,,71.0,1700,178.0,True
Q449,Georges Brassens,French singer-songwriter and poet,Male,France,artist,1921,1981.0,natural causes,60.0,1900,198.0,False
Q464,Philipp Ludwig von Seidel,German mathematician,Male,German Empire; German Confederation,researcher,1821,1896.0,,75.0,1800,189.0,False
Q475,Eduardo Frei Montalva,President of Chile (1911-1982),Male,Chile,politician,1911,1982.0,homicide,71.0,1900,198.0,False
Q493,Arthur Rimbaud,"19th century French poet who influenced modern literature and arts, and prefigured surrealism",Male,France; French Third Republic; Second French Empire,artist,1854,1891.0,natural causes,37.0,1800,189.0,False
Q498,"Ulrich Frédéric Woldemar, Comte de Lowendal",German-born French soldier and statesmen (1700-1755),Male,Denmark; Russian Empire; Kingdom of France; Electorate of Saxony,politician,1700,1755.0,,55.0,1700,175.0,False
Q501,Charles Baudelaire,"French poet, essayist and art critic (1821-1867)",Male,France,artist,1821,1867.0,natural causes,46.0,1800,186.0,False
Q502,Stendhal,19th century French writer,Male,France,artist,1783,1842.0,natural causes,59.0,1800,184.0,False
Q504,Émile Zola,French writer,Male,France,artist,1840,1902.0,accident,62.0,1900,190.0,True
Q512,Vladimir Vysotsky,"Soviet singer, songwriter, poet and actor",Male,Soviet Union,artist,1938,1980.0,natural causes,42.0,1900,198.0,False
Q517,Napoleon,French general and emperor (1769-1821),Male,France,politician,1769,1821.0,natural causes,52.0,1800,182.0,False
Q529,Louis Pasteur,French chemist and microbiologist,Male,France,researcher,1822,1895.0,natural causes,73.0,1800,189.0,True
Q535,Victor Hugo,"French poet, novelist, and dramatist (1802-1885)",Male,France,artist,1802,1885.0,,83.0,1800,188.0,False
Q539,Giuseppe Garibaldi,"Italian general, patriot and republican (1807-1882)",Male,French Third Republic; First French Empire; Riograndense Republic; Kingdom of Sardinia; Kingdom of Italy,artist,1807,1882.0,natural causes,75.0,1800,188.0,False
Q559,Claude Bourgelat,French veterinary surgeon,Male,Kingdom of France,artist,1712,1779.0,,67.0,1700,177.0,False
Q562,Pierre Poivre,French horticulturalist (1719-1786),Male,Kingdom of France,researcher,1719,1786.0,,67.0,1700,178.0,False
Q576,Jorge Alessandri,Chilean politician and President (1896-1986),Male,Chile,politician,1896,1986.0,,90.0,1900,198.0,False
Q579,Carlos Ibáñez del Campo,Chilean army officer and political figure (1877-1960),Male,Chile,politician,1877,1960.0,,83.0,1900,196.0,False
Q590,Luís de Camões,Portuguese poet,Male,,artist,1524,1580.0,,56.0,1500,158.0,False
Q619,Nicolaus Copernicus,"Renaissance-era mathematician, astronomer, and clergyman who formulated the heliocentric model of the Universe",Male,Kingdom of Poland,researcher,1473,1543.0,natural causes,70.0,1500,154.0,False
Q632,Jean Moulin,French resistance fighter and civil servant,Male,France,official; french resistance fighter,1899,1943.0,homicide,44.0,1900,194.0,False
Q635,Cleopatra,last active pharaoh of Ptolemaic Egypt,Female,Ancient Egypt,sovereign,-69,-30.0,suicide,39.0,-100,-3.0,True
Q651,Friedrich Theodor Vischer,"German philosopher, writer and politician (1807-1887)",Male,Germany,researcher,1807,1887.0,,80.0,1800,188.0,False
Q675,André-Marie Ampère,French physicist and mathematician,Male,France,researcher,1775,1836.0,,61.0,1800,183.0,False
Q680,Alessandro Volta,"Italian physicist, chemist, and pioneer of electricity and power",Male,Duchy of Milan; Kingdom of Lombardy–Venetia; Cisalpine Republic; Kingdom of Italy,researcher,1745,1827.0,,82.0,1800,182.0,False
Q687,Molière,French playwright and actor,Male,Kingdom of France,artist,1622,1673.0,natural causes,51.0,1600,167.0,False
Q692,William Shakespeare,English playwright and poet,Male,Kingdom of England,playwright,1564,1616.0,,52.0,1600,161.0,False
Q720,Genghis Khan,founder and first khan of the Mongol Empire,Male,Mongol Empire,military personnel,1162,1227.0,,65.0,1200,122.0,False
Q742,Jean Racine,French dramatist,Male,Kingdom of France,researcher,1639,1699.0,natural causes,60.0,1600,169.0,True
Q747,Pierre Corneille,French tragedian,Male,Kingdom of France,artist,1606,1684.0,,78.0,1600,168.0,False
Q755,Paul Verlaine,French poet,Male,France,artist,1844,1896.0,natural causes,52.0,1800,189.0,True
Q762,Leonardo da Vinci,Italian Renaissance polymath (1452-1519),Male,Republic of Florence,researcher,1452,1519.0,natural causes,67.0,1500,151.0,False
Q765,Dario Fo,"Italian actor, playwright, comedian, singer-songwriter, theater director, painter, and political activist (1926-2016)",Male,Italy,artist,1926,2016.0,,90.0,2000,201.0,False
Q767,Stéphane Mallarmé,French Symbolist poet,Male,France,artist,1842,1898.0,,56.0,1800,189.0,False
Q815,Gabriel Gonzáles Videla,Chilean politician (1898-1980),Male,Chile,politician,1898,1980.0,,82.0,1900,198.0,False
Q820,Juan Antonio Rios,Chilean politician and President (1888-1946),Male,Chile,politician,1888,1946.0,natural causes,58.0,1900,194.0,True
Q835,Mikhail Bulgakov,Russian author,Male,Soviet Union; Russian Empire,artist,1891,1940.0,natural causes,49.0,1900,194.0,False
Q838,Andrei Rublev,medieval Russian artist,Male,Grand Duchy of Moscow,artist,1360,1428.0,natural causes,68.0,1400,142.0,False
Q845,Pedro Aguirre Cerda,Chilean politician and President (1879-1941),Male,Chile,politician,1879,1941.0,natural causes,62.0,1900,194.0,False
Q848,Arturo Alessandri,Chilean politician and President,Male,Chile,politician,1868,1950.0,natural causes,82.0,1900,195.0,False
Q849,François Villon,French poet and criminal,Male,Kingdom of France,artist,1431,1463.0,,32.0,1400,146.0,False
Q853,Andrei Tarkovsky,"Soviet and Russian filmmaker, writer, film editor, film theorist, and theatre and opera director",Male,Soviet Union,artist,1932,1986.0,natural causes,54.0,1900,198.0,True
Q855,Joseph Stalin,"Soviet politician, general secretary of the Communist Party of the Soviet Union and premier of the Soviet Union (1878-1953)",Male,Soviet Union; Russian Empire; Russian Soviet Federative Socialist Republic,politician,1879,1953.0,natural causes,74.0,1900,195.0,True
Q857,Juan Luis Sanfuentes,Chilean politician and President (1858-1930),Male,Chile,politician,1858,1930.0,,72.0,1900,193.0,True
Q859,Plato,ancient Greek philosopher,Male,Classical Athens,artist,-427,-347.0,,80.0,-400,-35.0,True
Q862,Joseph Brodsky,Russian-American poet,Male,United States of America; Soviet Union,artist,1940,1996.0,natural causes,56.0,1900,199.0,False
Q868,Aristotle,ancient Greek philosopher,Male,,philosopher,-384,-322.0,natural causes,62.0,-400,-33.0,False
Q882,Charlie Chaplin,British comic actor and filmmaker (1889-1977),Male,United Kingdom,artist,1889,1977.0,natural causes,88.0,1900,197.0,False
Q885,Józef Piłsudski,"Polish politician, First Marshall and Prime Minister (1867-1935)",Male,Poland; Russian Empire; Second Polish Republic,politician,1867,1935.0,natural causes,68.0,1900,193.0,False
Q892,J. R. R. Tolkien,British philologist and author of classic high fantasy works,Male,United Kingdom,researcher,1892,1973.0,,81.0,1900,197.0,True
Q905,Franz Kafka,Bohemian novelist and short story writer,Male,Austria-Hungary; Czechoslovakia,artist,1883,1924.0,natural causes,41.0,1900,192.0,False
Q909,Jorge Luis Borges,"Argentine short story writer, essayist, poet and translator (1899-1986)",Male,Argentina,researcher,1899,1986.0,natural causes,87.0,1900,198.0,False
Q913,Socrates,ancient Greek philosopher,Male,Classical Athens,philosopher,-470,-399.0,capital punishment,71.0,-400,-40.0,False
Q920,J. Bernlef,Dutch writer and translator,Male,Kingdom of the Netherlands,artist,1937,2012.0,,75.0,2000,201.0,False
Q926,Roald Amundsen,Norwegian explorer; first person to reach the South Pole,Male,Norway,researcher,1872,1928.0,accident,56.0,1900,192.0,False
Q927,Harry Mulisch,Dutch writer,Male,Kingdom of the Netherlands,artist,1927,2010.0,natural causes,83.0,2000,201.0,False
Q930,Konstantin Melnikov,Russian architect and painter (1890-1974),Male,Soviet Union; Russian Empire,artist,1890,1974.0,,84.0,1900,197.0,False
Q935,Isaac Newton,British physicist and mathematician,Male,Kingdom of Great Britain; Kingdom of England,researcher,1642,1727.0,,85.0,1700,172.0,False
Q937,Albert Einstein,German-born theoretical physicist; developer of the theory of relativity (1879–1955),Male,United States of America; Switzerland; Austria-Hungary; Weimar Republic; German Empire,researcher,1879,1955.0,natural causes,76.0,1900,195.0,False
Q939,Pedro I of Brazil,first Emperor of Brazil (1798-1834),Male,Kingdom of Portugal; Empire of Brazil,artist,1798,1834.0,natural causes,36.0,1800,183.0,True
Q949,John Bardeen,American physicist and engineer,Male,United States of America,researcher,1908,1991.0,natural causes,83.0,1900,199.0,False
Q984,Miles Franklin,Australian writer and feminist,Female,Austria; Australia,artist,1879,1954.0,,75.0,1900,195.0,False
Q989,John Paul II,264th pope of the Catholic Church,Male,Poland,researcher,1920,2005.0,natural causes,85.0,2000,200.0,False
Q991,Fyodor Dostoyevsky,Russian author,Male,Russian Empire,artist,1821,1881.0,,60.0,1800,188.0,False
Q997,Andrei Sakharov,Soviet nuclear physicist and human rights activist,Male,Soviet Union; Russian Soviet Federative Socialist Republic,researcher,1921,1989.0,natural causes,68.0,1900,198.0,False
Q1001,Mahatma Gandhi,pre-eminent leader of Indian nationalism during the British Raj (1869-1948),Male,British Raj; Dominion of India,artist,1869,1948.0,homicide,79.0,1900,194.0,False
Q1031,France Prešeren,"Slovene national poet, a Carniolan Romantic poet of Slovene descent",Male,Austrian Empire; Illyrian Provinces,artist,1800,1849.0,natural causes,49.0,1800,184.0,False
Q1035,Charles Darwin,"British naturalist, author of ""On the origin of species, by means of natural selection"" (1809-1882)",Male,United Kingdom of Great Britain and Ireland,researcher,1809,1882.0,,73.0,1800,188.0,False
Q1043,Carl Linnaeus,"Swedish botanist, physician, and zoologist (1707-1778)",Male,Sweden,researcher,1707,1778.0,,71.0,1700,177.0,True
Q1051,Ivan Regen,Slovenian biologist,Male,Austria-Hungary,researcher,1868,1947.0,,79.0,1900,194.0,False
Q1056,Italo Balbo,Italian Marshal of the Air Force and minister (1896-1940),Male,Kingdom of Italy,politician,1896,1940.0,accident,44.0,1900,194.0,False
Q1064,Alessandro Manzoni,Italian poet and novelist (1785-1873),Male,Kingdom of Sardinia; Kingdom of Italy,artist,1785,1873.0,natural causes,88.0,1800,187.0,False
Q1067,Dante Alighieri,Italian poet (1265–1321),Male,Republic of Florence,artist,1265,1321.0,,56.0,1300,132.0,False
Q1145,Jean-Philippe Rameau,French Baroque composer and music theorist,Male,Kingdom of France,artist,1683,1764.0,,81.0,1700,176.0,False
Q1149,Indira Gandhi,Indian Prime Minister and politician (1917-1984),Female,India; British Raj,politician,1917,1984.0,homicide,67.0,1900,198.0,False
Q1151,Hector Berlioz,French Romantic composer,Male,France,artist,1803,1869.0,,66.0,1800,186.0,False
Q1178,Maurice Ravel,French composer,Male,France,artist,1875,1937.0,,62.0,1900,193.0,False
Q1192,Jean-Baptiste Lully,Italian-born French composer,Male,Kingdom of France; Grand Duchy of Tuscany,artist,1632,1687.0,natural causes,55.0,1600,168.0,True
Q1203,John Lennon,"English singer and songwriter, founding member of The Beatles (1940-1980)",Male,United Kingdom,artist,1940,1980.0,homicide,40.0,1900,198.0,False
Q1217,Hubert Salentin,German painter (1822-1910),Male,German Empire,artist,1822,1910.0,,88.0,1900,191.0,False
Q1224,Carlo Azeglio Ciampi,10th President of Italy,Male,Italy; Kingdom of Italy,politician,1920,2016.0,natural causes,96.0,2000,201.0,False
Q1228,Oscar Luigi Scalfaro,9th President of Italy (1918-2012),Male,Italy; Kingdom of Italy,politician,1918,2012.0,,94.0,2000,201.0,False
Q1230,Francesco Cossiga,8th President of Italy (1928-2010),Male,Italy; Kingdom of Italy,politician,1928,2010.0,,82.0,2000,201.0,True
Q1233,Sandro Pertini,7th President of Italy (1896-1990),Male,Italy; Kingdom of Italy,politician,1896,1990.0,,94.0,1900,199.0,False
Q1235,Giovanni Leone,6th President of Italy (1908-2001),Male,Italy; Kingdom of Italy,politician,1908,2001.0,,93.0,2000,200.0,False
Q1238,Giuseppe Saragat,5th President of Italy (1898-1988),Male,Italy; Kingdom of Italy,politician,1898,1988.0,,90.0,1900,198.0,False
Q1240,Antonio Segni,4th President of Italy (1891-1972),Male,Italy; Kingdom of Italy,politician,1891,1972.0,,81.0,1900,197.0,False
Q1241,Giovanni Gronchi,3rd President of Italy (1887-1978),Male,Italy; Kingdom of Italy,politician,1887,1978.0,,91.0,1900,197.0,True
Q1242,Luigi Einaudi,2nd President of Italy (1874-1961),Male,Italy; Kingdom of Italy,researcher,1874,1961.0,,87.0,1900,196.0,False
Q1245,Enrico de Nicola,1st President of Italy (1877-1959),Male,Italy; Kingdom of Italy,politician,1877,1959.0,,82.0,1900,195.0,False
Q1254,Kofi Annan,7th Secretary-General of the United Nations (1938-2018),Male,Ghana,politician,1938,2018.0,natural causes,80.0,2000,201.0,True
Q1257,Boutros Boutros-Ghali,6th Secretary-General of the United Nations (1922-2016),Male,Egypt,artist,1922,2016.0,accident,94.0,2000,201.0,False
Q1260,Kurt Waldheim,"4th Secretary-General of the United Nations, President of Austria (1918-2007)",Male,Austria; Nazi Germany; Federal State of Austria; Republic of German-Austria; First Republic of Austria,politician,1918,2007.0,natural causes,89.0,2000,200.0,False
Q1267,Dag Hammarskjöld,"Swedish diplomat, economist, and author (1905-1961)",Male,Sweden,artist,1905,1961.0,accident,56.0,1900,196.0,False
Q1268,Frédéric Chopin,Polish composer and pianist,Male,Poland,artist,1810,1849.0,natural causes,39.0,1800,184.0,False
Q1271,Trygve Lie,1st Secretary-General of the United Nations (1896-1968),Male,Norway,politician,1896,1968.0,natural causes,72.0,1900,196.0,False
Q1275,Gladwyn Jebb,acting Secretary-General of the United Nations (1900-1996),Male,United Kingdom; United Kingdom of Great Britain and Ireland,politician,1900,1996.0,,96.0,1900,199.0,False
Q1276,Leonard Cohen,Canadian poet and singer-songwriter,Male,Canada,artist,1934,2016.0,accident,82.0,2000,201.0,True
Q1290,Blaise Pascal,"French mathematician, physicist, inventor, writer, and Christian philosopher",Male,Kingdom of France,researcher,1623,1662.0,natural causes,39.0,1600,166.0,False
Q1294,Ramón Barros Luco,Chilean politician and President (1835-1919),Male,Chile,politician,1835,1919.0,,84.0,1900,191.0,False
Q1298,Pedro Montt,Chilean politician and President (1849-1910),Male,Chile,politician,1849,1910.0,natural causes,61.0,1900,191.0,True
Q1300,Germán Riesco,Chilean politician and President (1854-1916) chupalo,Male,Chile,politician,1854,1916.0,,62.0,1900,191.0,False
Q1316,Saddam Hussein,Iraqi politician and President,Male,Iraq,politician,1937,2006.0,capital punishment,69.0,2000,200.0,False
Q1317,Osama bin Laden,Saudi Arabian founder of al-Qaeda,Male,Saudi Arabia; statelessness,businessperson,1957,2011.0,death in battle,54.0,2000,201.0,False
Q1318,Aníbal Zañartu,Chilean politician and Vice President (1847-1902),Male,Chile,politician,1847,1902.0,natural causes,55.0,1900,190.0,False
Q1319,Federico Errázuriz Echaurren,President of Chile (1850-1901),Male,Chile,politician,1850,1901.0,,51.0,1900,190.0,False
Q1320,Jorge Montt,"Chilean sailor, politician and President (1845-1922)",Male,Chile,politician,1845,1922.0,,77.0,1900,192.0,False
Q1322,José Manuel Balmaceda,Chilean politician and President (1840-1891),Male,Chile,politician,1840,1891.0,suicide,51.0,1800,189.0,False
Q1323,Domingo Santa María,Chilean politician and President (1825-1889),Male,Chile,researcher,1825,1889.0,,64.0,1800,188.0,True
Q1324,Aníbal Pinto,Chilean politician and President (1825-1884),Male,Chile,politician,1825,1884.0,,59.0,1800,188.0,False
Q1325,Friedrich Hayek,Austrian and British economist,Male,Austria; United Kingdom,researcher,1899,1992.0,,93.0,1900,199.0,False
Q1326,Federico Errázuriz Zañartu,Chilean politician (1825-1877),Male,Chile,politician,1825,1877.0,natural causes,52.0,1800,187.0,False
Q1327,José Joaquín Pérez,Chilean politician and President (1801-1889),Male,Chile,politician,1801,1889.0,,88.0,1800,188.0,False
Q1328,Manuel Montt,Chilean politician and President (1809-1880),Male,Chile,politician,1809,1880.0,,71.0,1800,188.0,True
Q1329,Manuel Bulnes,Chilean politician and President (1799-1866),Male,Chile,politician,1799,1866.0,,67.0,1800,186.0,True
Q1330,José Joaquín Prieto,"Militar, Chilean politician and President (1786-1854)",Male,Chile,politician,1786,1854.0,,68.0,1800,185.0,False
Q1331,Manuel Blanco Encalada,Chilean politician and President (1790-1876),Male,Argentina,politician,1790,1876.0,,86.0,1800,187.0,True
Q1332,Ramón Freire,Chilean politician (1787-1851),Male,Chile,politician,1787,1851.0,,64.0,1800,185.0,True
Q1333,Francisco Antonio Pinto,Chilean politician and President (1785-1858),Male,Chile,politician,1785,1858.0,,73.0,1800,185.0,False
Q1339,Johann Sebastian Bach,German composer and musician of the Baroque era,Male,Holy Roman Empire; Saxe-Eisenach,artist,1685,1750.0,natural causes,65.0,1700,175.0,True
Q1340,Antonio Vivaldi,Italian composer and violinist,Male,Republic of Venice,artist,1678,1741.0,,63.0,1700,174.0,False
Q1381,Dave Arneson,American game designer,Male,United States of America,game designer; role-playing game designer,1947,2009.0,natural causes,62.0,2000,200.0,True
Q1394,Vladimir Lenin,"Russian politician, communist theorist, and founder of the Soviet Union (1870-1924)",Male,Russian Soviet Federative Socialist Republic; Soviet Union; Russian Empire,politician,1870,1924.0,natural causes,54.0,1900,192.0,False
Q1399,Niccolò Machiavelli,"Italian politician, writer and author (1469-1527)",Male,Republic of Florence,researcher,1469,1527.0,,58.0,1500,152.0,False
Q1401,Petrarch,Italian scholar and poet,Male,,artist,1304,1374.0,,70.0,1300,137.0,False
Q1402,Giovanni Boccaccio,Italian author and poet,Male,,artist,1313,1375.0,,62.0,1300,137.0,False
Q1403,Luigi Pirandello,"Italian dramatist, novelist, short story writer, and poet, Nobel Prize for Literature laureate",Male,Kingdom of Italy,artist,1867,1936.0,,69.0,1900,193.0,False
Q1463,Ferdinand Marcos,former president of the Philippines from 1965 to 1986,Male,Philippines,politician,1917,1989.0,natural causes,72.0,1900,198.0,False
Q1470,M. C. Escher,Dutch graphic artist (1898-1972),Male,Kingdom of the Netherlands,artist,1898,1972.0,,74.0,1900,197.0,False
Q1480,Corazon Aquino,Philippine politician and President (1933-2009),Female,Philippines,politician,1933,2009.0,natural causes,76.0,2000,200.0,False
Q1488,Robert Brasillach,French author and journalist (1909-1945),Male,France,artist,1909,1945.0,,36.0,1900,194.0,False
Q1496,Ferdinand Magellan,Portuguese explorer in the service of Spain,Male,Kingdom of Portugal,explorer,1480,1521.0,homicide,41.0,1500,152.0,False
Q1500,José Rizal,"Filipino writer, nationalist; National Hero of the Philippines (1861-1896)",Male,Philippines,researcher,1861,1896.0,capital punishment,35.0,1800,189.0,True
Q1503,Manuel L. Quezon,Second President of the Philippines from 1935 to 1944,Male,Philippines,politician,1878,1944.0,natural causes,66.0,1900,194.0,False
Q1511,Richard Wagner,German composer and conductor,Male,Germany,artist,1813,1883.0,natural causes,70.0,1800,188.0,False
Q1512,Robert Louis Stevenson,"Scottish novelist, poet, essayist, and travel writer",Male,United Kingdom of Great Britain and Ireland,artist,1850,1894.0,natural causes,44.0,1800,189.0,False
Q1514,Janis Joplin,American singer and songwriter,Female,United States of America,artist,1943,1970.0,accident,27.0,1900,197.0,True
Q1544,Tony Garnier,French architect,Male,France,architect,1869,1948.0,,79.0,1900,194.0,False
Q1585,Georg Simon Ohm,hola solo quiero coger con una mujer,Male,Germany; Kingdom of Bavaria,researcher,1789,1854.0,,65.0,1800,185.0,False
Q1589,Luigi Galvani,"Italian physician, physicist, and philosopher",Male,Papal States,researcher,1737,1798.0,,61.0,1700,179.0,False
Q1615,Neil Armstrong,American astronaut and the first human to walk on the moon,Male,United States of America,teacher,1930,2012.0,natural causes,82.0,2000,201.0,False
Q1618,Charles Lindbergh,"American aviator, author, inventor, explorer, and social activist",Male,United States of America,artist,1902,1974.0,natural causes,72.0,1900,197.0,False
Q1625,Sigfrid Edström,Swedish industrialist and International Olympic Committee official (1870-1964),Male,Sweden,athlete,1870,1964.0,,94.0,1900,196.0,True
Q1628,"David Cecil, 6th Marquess of Exeter","English athlete, sports official, and Conservative Party politician (1905-1981)",Male,United Kingdom,athlete,1905,1981.0,,76.0,1900,198.0,False
Q1631,Édith Piaf,French singer,Female,France,artist,1915,1963.0,natural causes,48.0,1900,196.0,True
Q1634,Adriaan Paulen,Dutch athlete and president of the IAAF (1902-1985),Male,Kingdom of the Netherlands,athlete,1902,1985.0,,83.0,1900,198.0,False
Q1638,Primo Nebiolo,Italian sports official and IAAF president,Male,Italy; Kingdom of Italy,athlete,1923,1999.0,natural causes,76.0,1900,199.0,False
Q1646,Françoise Sagan,French writer,Female,France,artist,1935,2004.0,natural causes,69.0,2000,200.0,False
Q1666,Jacques Brel,Belgian singer-songwriter,Male,Belgium,artist,1929,1978.0,natural causes,49.0,1900,197.0,True
Q1698,Serge Gainsbourg,"French singer, songwriter, pianist, film composer, poet, painter, screenwriter, writer, actor and director (1928-1991)",Male,France,artist,1928,1991.0,natural causes,63.0,1900,199.0,False
Q1768,Ella Fitzgerald,American jazz singer,Female,United States of America,artist,1917,1996.0,natural causes,79.0,1900,199.0,False
Q1775,Brownie Mary,American medical cannabis activist,Female,United States of America,activist,1922,1999.0,natural causes,77.0,1900,199.0,False
Q1779,Louis Armstrong,"American jazz trumpeter, composer and singer",Male,United States of America,artist,1900,1971.0,natural causes,71.0,1900,197.0,True
Q1785,Charles Aznavour,Armenian-French singer and diplomat,Male,France; Armenia,artist,1924,2018.0,,94.0,2000,201.0,False
Q1786,Jan I Carondelet,Burgundian jurist and politician,Male,Burgundian Netherlands,politician,1428,1502.0,,74.0,1500,150.0,False
Q1788,Claude I Carondelet,chancellor of Flanders and Burgundy,Male,France,aristocrat,1467,1518.0,,51.0,1500,151.0,False
Q1791,Jan II Carondelet,"Burgundian cleric, politician, jurist, and advisor to Charles V, Holy Roman Emperor (1469-1544)",Male,Burgundian Netherlands,politician,1469,1544.0,,75.0,1500,154.0,False
Q1798,Ferry Carondelet,"Habsburg diplomat, advisor, and abbot (1473-1528)",Male,,politician,1473,1528.0,,55.0,1500,152.0,False
Q1802,Daniel Balavoine,French recording artist; singer-songwriter,Male,France,artist,1952,1986.0,accident,34.0,1900,198.0,False
Q1804,Barbara,French recording artist; singer-songwriter,Female,France,artist,1930,1997.0,,67.0,1900,199.0,False
Q1868,Paul Otlet,"Belgian author, librarian and colonial thinker",Male,Belgium,researcher,1868,1944.0,,76.0,1900,194.0,False
Q2001,Stanley Kubrick,American filmmaker,Male,United States of America,athlete,1928,1999.0,natural causes,71.0,1900,199.0,False
Q2022,Cesare Pavese,"Italian poet, novelist, literary critic, and translator",Male,Italy; Kingdom of Italy,researcher,1908,1950.0,suicide,42.0,1900,195.0,False
Q2038,François Mitterrand,21st President of the French Republic (1916-1996),Male,France,politician,1916,1996.0,natural causes,80.0,1900,199.0,False
Q2040,Giuseppe Farina,Italian racecar driver,Male,Italy; Kingdom of Italy,racing automobile driver,1906,1966.0,accident,60.0,1900,196.0,False
Q2042,Charles de Gaulle,eighteenth President of the French Republic (1890-1970),Male,France,politician,1890,1970.0,natural causes,80.0,1900,197.0,False
Q2069,Juan Manuel Fangio,Argentinian racing driver,Male,Argentina,entrepreneur,1911,1995.0,,84.0,1900,199.0,False
Q2086,Alberto Ascari,Italian racing driver,Male,Italy; Kingdom of Italy,motorcycle racer; formula one driver,1918,1955.0,,37.0,1900,195.0,False
Q2104,Mike Hawthorn,British racing driver,Male,United Kingdom,formula one driver,1929,1959.0,accident,30.0,1900,195.0,True
Q2105,Jacques Chirac,French statesman and official (1932–2019),Male,France,politician,1932,2019.0,natural causes,87.0,2000,201.0,False
Q2116,Hans Schmidt,"German musician and poet; * 1854, † 1923",Male,Germany,artist,1854,1923.0,,69.0,1900,192.0,True
Q2124,Valéry Giscard d'Estaing,French official and statesman (1926–2020),Male,France,statesperson,1926,2020.0,,94.0,2000,202.0,False
Q2125,Jack Brabham,Australian racing driver,Male,Australia,athlete,1926,2014.0,natural causes,88.0,2000,201.0,False
Q2185,Georges Pompidou,19th President of the French Republic (1911-1974),Male,France,politician,1911,1974.0,natural causes,63.0,1900,197.0,False
Q2190,Coluche,French comedian and actor,Male,France,artist,1944,1986.0,accident,42.0,1900,198.0,False
Q2196,Pierre Desproges,French humorist,Male,France,artist,1939,1988.0,natural causes,49.0,1900,198.0,False
