entity_type,name,surname,full_count,surname_count,index_used,error
historical_figure,Jeongjong,Jeongjong,5850,5850,v4_olmo-mix-1124_llama,
historical_figure,Gyeongjong,Gyeongjong,9106,9106,v4_olmo-mix-1124_llama,
historical_figure,Seongjong,Seongjong,15767,15767,v4_olmo-mix-1124_llama,
historical_figure,Gero,Gero,362594,362594,v4_olmo-mix-1124_llama,
historical_figure,朱友寧,朱友寧,85,85,v4_olmo-mix-1124_llama,
historical_figure,Al-Tabarani,Al-Tabarani,5759,5759,v4_olmo-mix-1124_llama,
historical_figure,Liutgarde,Liutgarde,923,923,v4_olmo-mix-1124_llama,
historical_figure,杨砺,杨砺,2,2,v4_olmo-mix-1124_llama,
historical_figure,钱弘偡,钱弘偡,0,0,v4_olmo-mix-1124_llama,
historical_figure,钱弘儇,钱弘儇,0,0,v4_olmo-mix-1124_llama,
historical_figure,Rashi,Rashi,2569041,2569041,v4_olmo-mix-1124_llama,
historical_figure,Al-Baghawi,Al-Baghawi,2273,2273,v4_olmo-mix-1124_llama,
historical_figure,Theodwin,Theodwin,731,731,v4_olmo-mix-1124_llama,
historical_figure,Sibylla,Sibylla,118903,118903,v4_olmo-mix-1124_llama,
historical_figure,Stephen,Stephen,52417644,52417644,v4_olmo-mix-1124_llama,
historical_figure,Hilarius,Hilarius,41854,41854,v4_olmo-mix-1124_llama,
historical_figure,Lucas,Lucas,22542375,22542375,v4_olmo-mix-1124_llama,
historical_figure,William-Jordan,William-Jordan,378,378,v4_olmo-mix-1124_llama,
historical_figure,Ubald,Ubald,32925,32925,v4_olmo-mix-1124_llama,
historical_figure,Godbald,Godbald,330,330,v4_olmo-mix-1124_llama,
historical_figure,Heinrich,Heinrich,4086815,4086815,v4_olmo-mix-1124_llama,
historical_figure,Burchard,Burchard,200538,200538,v4_olmo-mix-1124_llama,
historical_figure,Guillaume,Guillaume,1653163,1653163,v4_olmo-mix-1124_llama,
historical_figure,Guiraud,Guiraud,51551,51551,v4_olmo-mix-1124_llama,
historical_figure,Maurizio,Maurizio,593480,593480,v4_olmo-mix-1124_llama,
historical_figure,Al-Zuhri,Al-Zuhri,3035,3035,v4_olmo-mix-1124_llama,
historical_figure,Albinus,Albinus,162272,162272,v4_olmo-mix-1124_llama,
historical_figure,Richard,Richard,101539946,101539946,v4_olmo-mix-1124_llama,
historical_figure,Jiade-diji,Jiade-diji,0,0,v4_olmo-mix-1124_llama,
historical_figure,Stephan,Stephan,4054264,4054264,v4_olmo-mix-1124_llama,
historical_figure,曹辅,曹辅,1,1,v4_olmo-mix-1124_llama,
historical_figure,杨政,杨政,132,132,v4_olmo-mix-1124_llama,
historical_figure,Luqin,Luqin,1032,1032,v4_olmo-mix-1124_llama,
historical_figure,慕容貴妃,慕容貴妃,0,0,v4_olmo-mix-1124_llama,
historical_figure,Al-Muntanyisi,Al-Muntanyisi,0,0,v4_olmo-mix-1124_llama,
historical_figure,馬琪,馬琪,0,0,v4_olmo-mix-1124_llama,
historical_figure,Pinturicchio,Pinturicchio,19643,19643,v4_olmo-mix-1124_llama,
historical_figure,George,George,160490339,160490339,v4_olmo-mix-1124_llama,
historical_figure,Philip,Philip,29041261,29041261,v4_olmo-mix-1124_llama,
historical_figure,Paracelsus,Paracelsus,551636,551636,v4_olmo-mix-1124_llama,
historical_figure,Meera,Meera,809248,809248,v4_olmo-mix-1124_llama,
historical_figure,Anton,Anton,21987082,21987082,v4_olmo-mix-1124_llama,
historical_figure,Cimabué,Cimabué,1,1,v4_olmo-mix-1124_llama,
historical_figure,Guy,Guy,36405561,36405561,v4_olmo-mix-1124_llama,
historical_figure,Simonida,Simonida,3728,3728,v4_olmo-mix-1124_llama,
historical_figure,Tomasz,Tomasz,568742,568742,v4_olmo-mix-1124_llama,
historical_figure,Jordanus,Jordanus,17865,17865,v4_olmo-mix-1124_llama,
historical_figure,Johann,Johann,7576235,7576235,v4_olmo-mix-1124_llama,
historical_figure,Kökejin,Kökejin,349,349,v4_olmo-mix-1124_llama,
historical_figure,彭大,彭大,227,227,v4_olmo-mix-1124_llama,
historical_figure,楠木正季,楠木正季,2,2,v4_olmo-mix-1124_llama,
historical_figure,細川直俊,細川直俊,0,0,v4_olmo-mix-1124_llama,
historical_figure,Kenshun,Kenshun,444,444,v4_olmo-mix-1124_llama,
historical_figure,Sisinnius,Sisinnius,7642,7642,v4_olmo-mix-1124_llama,
historical_figure,Mildthryth,Mildthryth,340,340,v4_olmo-mix-1124_llama,
historical_figure,Rigobert,Rigobert,15233,15233,v4_olmo-mix-1124_llama,
historical_figure,Chrodegang,Chrodegang,5511,5511,v4_olmo-mix-1124_llama,
historical_figure,Benedict,Benedict,10460749,10460749,v4_olmo-mix-1124_llama,
historical_figure,Frithuswith,Frithuswith,1009,1009,v4_olmo-mix-1124_llama,
historical_figure,Fazang,Fazang,9377,9377,v4_olmo-mix-1124_llama,
historical_figure,Paul,Paul,196240929,196240929,v4_olmo-mix-1124_llama,
historical_figure,Adalbert,Adalbert,156520,156520,v4_olmo-mix-1124_llama,
historical_figure,Zhanran,Zhanran,3909,3909,v4_olmo-mix-1124_llama,
historical_figure,Ebrulf,Ebrulf,825,825,v4_olmo-mix-1124_llama,
historical_figure,Davide,Davide,719920,719920,v4_olmo-mix-1124_llama,
historical_figure,李琚,李琚,45,45,v4_olmo-mix-1124_llama,
historical_figure,李观,李观,22,22,v4_olmo-mix-1124_llama,
historical_figure,石川垣守,石川垣守,0,0,v4_olmo-mix-1124_llama,
historical_figure,石川真守,石川真守,1,1,v4_olmo-mix-1124_llama,
historical_figure,殷仲容,殷仲容,0,0,v4_olmo-mix-1124_llama,
historical_figure,Tobias,Tobias,4009125,4009125,v4_olmo-mix-1124_llama,
historical_figure,Ziying,Ziying,24719,24719,v4_olmo-mix-1124_llama,
historical_figure,Zhuangzi,Zhuangzi,341903,341903,v4_olmo-mix-1124_llama,
historical_figure,Theophrastus,Theophrastus,278524,278524,v4_olmo-mix-1124_llama,
historical_figure,Mencius,Mencius,481799,481799,v4_olmo-mix-1124_llama,
historical_figure,Fusu,Fusu,23515,23515,v4_olmo-mix-1124_llama,
historical_figure,Melissa,Melissa,12294738,12294738,v4_olmo-mix-1124_llama,
historical_figure,Salome,Salome,936076,936076,v4_olmo-mix-1124_llama,
historical_figure,Chadae,Chadae,1809,1809,v4_olmo-mix-1124_llama,
historical_figure,Hegesippus,Hegesippus,58319,58319,v4_olmo-mix-1124_llama,
historical_figure,Cornelius,Cornelius,3462145,3462145,v4_olmo-mix-1124_llama,
historical_figure,田聖,田聖,2306,2306,v4_olmo-mix-1124_llama,
historical_figure,Balgi,Balgi,2694,2694,v4_olmo-mix-1124_llama,
historical_figure,Fabian,Fabian,2564459,2564459,v4_olmo-mix-1124_llama,
historical_figure,Jungcheon,Jungcheon,886,886,v4_olmo-mix-1124_llama,
historical_figure,杨俊,杨俊,428,428,v4_olmo-mix-1124_llama,
historical_figure,柳甫,柳甫,9,9,v4_olmo-mix-1124_llama,
historical_figure,周不疑,周不疑,1,1,v4_olmo-mix-1124_llama,
historical_figure,Vitus,Vitus,443157,443157,v4_olmo-mix-1124_llama,
historical_figure,Januarius,Januarius,44639,44639,v4_olmo-mix-1124_llama,
historical_figure,Philomena,Philomena,358023,358023,v4_olmo-mix-1124_llama,
historical_figure,Hilarion,Hilarion,165999,165999,v4_olmo-mix-1124_llama,
historical_figure,劉芒蕩,劉芒蕩,0,0,v4_olmo-mix-1124_llama,
historical_figure,劉道真,劉道真,5,5,v4_olmo-mix-1124_llama,
historical_figure,司馬覃,司馬覃,146,146,v4_olmo-mix-1124_llama,
historical_figure,褚翜,褚翜,0,0,v4_olmo-mix-1124_llama,
historical_figure,Hilarius,Hilarius,41854,41854,v4_olmo-mix-1124_llama,
historical_figure,Elen,Elen,793508,793508,v4_olmo-mix-1124_llama,
historical_figure,Mamertus,Mamertus,2362,2362,v4_olmo-mix-1124_llama,
historical_figure,車胤,車胤,66,66,v4_olmo-mix-1124_llama,
historical_figure,萧景先,萧景先,2,2,v4_olmo-mix-1124_llama,
historical_figure,谢景仁,谢景仁,0,0,v4_olmo-mix-1124_llama,
historical_figure,袁豹,袁豹,12,12,v4_olmo-mix-1124_llama,
historical_figure,袁淑,袁淑,202,202,v4_olmo-mix-1124_llama,
historical_figure,谢混,谢混,2,2,v4_olmo-mix-1124_llama,
historical_figure,姚弼,姚弼,62,62,v4_olmo-mix-1124_llama,
historical_figure,常英,常英,976,976,v4_olmo-mix-1124_llama,
historical_figure,Muhammad,Muhammad,26554784,26554784,v4_olmo-mix-1124_llama,
historical_figure,Cunibert,Cunibert,3093,3093,v4_olmo-mix-1124_llama,
historical_figure,Chrodobertus,Chrodobertus,221,221,v4_olmo-mix-1124_llama,
historical_figure,Martina,Martina,1431300,1431300,v4_olmo-mix-1124_llama,
historical_figure,Aldegonde,Aldegonde,8248,8248,v4_olmo-mix-1124_llama,
historical_figure,Sophia,Sophia,7521085,7521085,v4_olmo-mix-1124_llama,
historical_figure,Ansegisel,Ansegisel,2289,2289,v4_olmo-mix-1124_llama,
historical_figure,Audoin,Audoin,18838,18838,v4_olmo-mix-1124_llama,
historical_figure,Priscus,Priscus,164292,164292,v4_olmo-mix-1124_llama,
historical_figure,Kuiji,Kuiji,4180,4180,v4_olmo-mix-1124_llama,
historical_figure,Maximus,Maximus,2691307,2691307,v4_olmo-mix-1124_llama,
historical_figure,楊智積,楊智積,25,25,v4_olmo-mix-1124_llama,
historical_figure,陸知命,陸知命,1,1,v4_olmo-mix-1124_llama,
historical_figure,高曇晟,高曇晟,8,8,v4_olmo-mix-1124_llama,
historical_figure,独孤怀恩,独孤怀恩,1,1,v4_olmo-mix-1124_llama,
historical_figure,노조상,노조상,0,0,v4_olmo-mix-1124_llama,
historical_figure,Al-Qadir,Al-Qadir,6513,6513,v4_olmo-mix-1124_llama,
historical_figure,Al-Qa'im,Al-Qa'im,2930,2930,v4_olmo-mix-1124_llama,
historical_figure,Adalberon,Adalberon,2277,2277,v4_olmo-mix-1124_llama,
historical_figure,Ichijō,Ichijō,14030,14030,v4_olmo-mix-1124_llama,
historical_figure,Gottschalk,Gottschalk,260359,260359,v4_olmo-mix-1124_llama,
historical_figure,Bardo,Bardo,398381,398381,v4_olmo-mix-1124_llama,
historical_figure,Aimoin,Aimoin,1895,1895,v4_olmo-mix-1124_llama,
historical_figure,Yahya,Yahya,1744463,1744463,v4_olmo-mix-1124_llama,
historical_figure,German,German,186638535,186638535,v4_olmo-mix-1124_llama,
historical_figure,Al-Ramadi,Al-Ramadi,3308,3308,v4_olmo-mix-1124_llama,
historical_figure,Wencheng,Wencheng,47001,47001,v4_olmo-mix-1124_llama,
historical_figure,楊宗妙,楊宗妙,0,0,v4_olmo-mix-1124_llama,
historical_figure,李舜举,李舜举,0,0,v4_olmo-mix-1124_llama,
historical_figure,韩崇业,韩崇业,0,0,v4_olmo-mix-1124_llama,
historical_figure,耶律敵烈,耶律敵烈,110,110,v4_olmo-mix-1124_llama,
historical_figure,耶律諧理,耶律諧理,0,0,v4_olmo-mix-1124_llama,
historical_figure,蕭忽古,蕭忽古,0,0,v4_olmo-mix-1124_llama,
historical_figure,郑穆,郑穆,4,4,v4_olmo-mix-1124_llama,
historical_figure,Bernhard,Bernhard,1689690,1689690,v4_olmo-mix-1124_llama,
historical_figure,Paul,Paul,196240929,196240929,v4_olmo-mix-1124_llama,
historical_figure,Timothy,Timothy,14532610,14532610,v4_olmo-mix-1124_llama,
historical_figure,鄧晨,鄧晨,95,95,v4_olmo-mix-1124_llama,
historical_figure,손건,손건,21,21,v4_olmo-mix-1124_llama,
historical_figure,陈茂,陈茂,107,107,v4_olmo-mix-1124_llama,
historical_figure,梁延,梁延,13,13,v4_olmo-mix-1124_llama,
historical_figure,Kassia,Kassia,54399,54399,v4_olmo-mix-1124_llama,
historical_figure,Æthelred,Æthelred,152770,152770,v4_olmo-mix-1124_llama,
historical_figure,Al-Mu'tazz,Al-Mu'tazz,2448,2448,v4_olmo-mix-1124_llama,
historical_figure,Al-Musta'in,Al-Musta'in,2059,2059,v4_olmo-mix-1124_llama,
historical_figure,Al-Amin,Al-Amin,90092,90092,v4_olmo-mix-1124_llama,
historical_figure,Al-Baladhuri,Al-Baladhuri,5317,5317,v4_olmo-mix-1124_llama,
historical_figure,Ansegisus,Ansegisus,431,431,v4_olmo-mix-1124_llama,
historical_figure,Bera,Bera,391976,391976,v4_olmo-mix-1124_llama,
historical_figure,Adalbert,Adalbert,156520,156520,v4_olmo-mix-1124_llama,
historical_figure,Al-Fakihi,Al-Fakihi,235,235,v4_olmo-mix-1124_llama,
historical_figure,Natalia,Natalia,2222755,2222755,v4_olmo-mix-1124_llama,
historical_figure,劉巨容,劉巨容,65,65,v4_olmo-mix-1124_llama,
historical_figure,小野恒柯,小野恒柯,0,0,v4_olmo-mix-1124_llama,
historical_figure,石川河主,石川河主,0,0,v4_olmo-mix-1124_llama,
historical_figure,小野野主,小野野主,0,0,v4_olmo-mix-1124_llama,
historical_figure,蕭円粛,蕭円粛,0,0,v4_olmo-mix-1124_llama,
historical_figure,Zosimus,Zosimus,127731,127731,v4_olmo-mix-1124_llama,
historical_figure,Scholastica,Scholastica,102672,102672,v4_olmo-mix-1124_llama,
historical_figure,Radegund,Radegund,21745,21745,v4_olmo-mix-1124_llama,
historical_figure,Taliesin,Taliesin,317829,317829,v4_olmo-mix-1124_llama,
historical_figure,Malo,Malo,936884,936884,v4_olmo-mix-1124_llama,
historical_figure,Caradoc,Caradoc,132070,132070,v4_olmo-mix-1124_llama,
historical_figure,Clotilde,Clotilde,152863,152863,v4_olmo-mix-1124_llama,
historical_figure,Marcellus,Marcellus,1412826,1412826,v4_olmo-mix-1124_llama,
historical_figure,Baozhi,Baozhi,2326,2326,v4_olmo-mix-1124_llama,
historical_figure,袁聿修,袁聿修,1,1,v4_olmo-mix-1124_llama,
historical_figure,侯瑱,侯瑱,191,191,v4_olmo-mix-1124_llama,
historical_figure,曹景宗,曹景宗,85,85,v4_olmo-mix-1124_llama,
historical_figure,楊瓚,楊瓚,208,208,v4_olmo-mix-1124_llama,
historical_figure,夏侯详,夏侯详,0,0,v4_olmo-mix-1124_llama,
historical_figure,李元忠,李元忠,19,19,v4_olmo-mix-1124_llama,
historical_figure,李和,李和,1049,1049,v4_olmo-mix-1124_llama,
historical_figure,袁樞,袁樞,102,102,v4_olmo-mix-1124_llama,
historical_figure,谢嘏,谢嘏,0,0,v4_olmo-mix-1124_llama,
historical_figure,鄭道昭,鄭道昭,0,0,v4_olmo-mix-1124_llama,
historical_figure,韓擒虎,韓擒虎,209,209,v4_olmo-mix-1124_llama,
historical_figure,高湝,高湝,149,149,v4_olmo-mix-1124_llama,
historical_figure,高済,高済,0,0,v4_olmo-mix-1124_llama,
historical_figure,蕭方等,蕭方等,112,112,v4_olmo-mix-1124_llama,
historical_figure,谢岳,谢岳,45,45,v4_olmo-mix-1124_llama,
historical_figure,崔巨伦,崔巨伦,0,0,v4_olmo-mix-1124_llama,
historical_figure,侯刚,侯刚,0,0,v4_olmo-mix-1124_llama,
historical_figure,裴延隽,裴延隽,14,14,v4_olmo-mix-1124_llama,
historical_figure,李神俊,李神俊,0,0,v4_olmo-mix-1124_llama,
historical_figure,陸子彰,陸子彰,0,0,v4_olmo-mix-1124_llama,
historical_figure,彭乐,彭乐,12,12,v4_olmo-mix-1124_llama,
historical_figure,Thalis,Thalis,17625,17625,v4_olmo-mix-1124_llama,
historical_figure,Laodice,Laodice,543829,543829,v4_olmo-mix-1124_llama,
historical_figure,Tryphaena,Tryphaena,28293,28293,v4_olmo-mix-1124_llama,
historical_figure,Pericles,Pericles,1136360,1136360,v4_olmo-mix-1124_llama,
historical_figure,Wuzhi,Wuzhi,19770,19770,v4_olmo-mix-1124_llama,
historical_figure,Wolfgang Amadeus Mozart,Mozart,248997,7099356,v4_olmo-mix-1124_llama,
historical_figure,Denis Diderot,Diderot,109801,654681,v4_olmo-mix-1124_llama,
historical_figure,Carl Linnaeus,Linnaeus,162726,1216840,v4_olmo-mix-1124_llama,
historical_figure,Johann Sebastian Bach,Bach,331556,28144708,v4_olmo-mix-1124_llama,
historical_figure,James Cook,Cook,669239,63788549,v4_olmo-mix-1124_llama,
historical_figure,Peter the Great,Great,639624,205548078,v4_olmo-mix-1124_llama,
historical_figure,Adam Smith,Smith,3508834,119904053,v4_olmo-mix-1124_llama,
historical_figure,Pierre Bouguer,Bouguer,5983,70584,v4_olmo-mix-1124_llama,
historical_figure,Ferdinand Augustin Hallerstein,Hallerstein,27,2462,v4_olmo-mix-1124_llama,
historical_figure,Franz Balthasar von Lindern,Lindern,24,8892,v4_olmo-mix-1124_llama,
historical_figure,Patrick Browne,Browne,4700,3516705,v4_olmo-mix-1124_llama,
historical_figure,John Clayton,Clayton,93015,6344237,v4_olmo-mix-1124_llama,
historical_figure,Qianlong Emperor,Emperor,56260,36580053,v4_olmo-mix-1124_llama,
historical_figure,Wladyslaw Jehoshaphat Sapieha,Sapieha,0,22294,v4_olmo-mix-1124_llama,
historical_figure,William Kidd,Kidd,46085,4987406,v4_olmo-mix-1124_llama,
historical_figure,Charles Marie de La Condamine,Condamine,2754,64707,v4_olmo-mix-1124_llama,
historical_figure,Alexander Spotswood,Spotswood,13009,109768,v4_olmo-mix-1124_llama,
historical_figure,Alexis Clairaut,Clairaut,3871,40718,v4_olmo-mix-1124_llama,
historical_figure,"Mir Qamar-ud-din Siddiqui, Chin Quilich  Khan, Nizam-ul-Mulk Asaf Jah",Jah,0,5871645,v4_olmo-mix-1124_llama,
historical_figure,Mahmud Hotaki,Hotaki,1080,15709,v4_olmo-mix-1124_llama,
historical_figure,Jacob Folkema,Folkema,220,1131,v4_olmo-mix-1124_llama,
historical_figure,Józef Bogusław Słuszka,Słuszka,11,114,v4_olmo-mix-1124_llama,
historical_figure,Henry Fielding,Fielding,95692,1906510,v4_olmo-mix-1124_llama,
historical_figure,"Thomas Thynne, 1st Viscount Weymouth",Weymouth,30,621076,v4_olmo-mix-1124_llama,
historical_figure,Antoine-Laurent de Lavoisier,Lavoisier,3887,560200,v4_olmo-mix-1124_llama,
historical_figure,Daniel Solander,Solander,8092,53225,v4_olmo-mix-1124_llama,
historical_figure,Stanisław Antoni Szczuka,Szczuka,64,7918,v4_olmo-mix-1124_llama,
historical_figure,Anne Beate Rosenkrantz,Rosenkrantz,1,67428,v4_olmo-mix-1124_llama,
historical_figure,Ferenc Faludi,Faludi,45,146443,v4_olmo-mix-1124_llama,
historical_figure,Johannes Diodato,Diodato,875,13316,v4_olmo-mix-1124_llama,
historical_figure,Stanisław Poniatowski,Poniatowski,1086,74731,v4_olmo-mix-1124_llama,
historical_figure,Ahmed Shahe Durrani,Durrani,23,289128,v4_olmo-mix-1124_llama,
historical_figure,Vasili Bazhenov,Bazhenov,222,23186,v4_olmo-mix-1124_llama,
historical_figure,Adolf Frederick of Sweden,Sweden,1919,35969966,v4_olmo-mix-1124_llama,
historical_figure,Frederick I of Sweden,Sweden,1686,35969966,v4_olmo-mix-1124_llama,
historical_figure,Charles XII of Sweden,Sweden,22419,35969966,v4_olmo-mix-1124_llama,
historical_figure,Count Palatine Francis Louis of Neuburg,Neuburg,65,59444,v4_olmo-mix-1124_llama,
historical_figure,Stanisław August Poniatowski,Poniatowski,9474,74731,v4_olmo-mix-1124_llama,
historical_figure,Marc-Antoine Eidous,Eidous,235,636,v4_olmo-mix-1124_llama,
historical_figure,Pierre Le Moyne d'Iberville,d'Iberville,5321,17775,v4_olmo-mix-1124_llama,
historical_figure,Georg Wilhelm Steller,Steller,6569,391852,v4_olmo-mix-1124_llama,
historical_figure,Christian Thomasius,Thomasius,3588,21727,v4_olmo-mix-1124_llama,
historical_figure,Maria Anna of Neuburg,Neuburg,858,59444,v4_olmo-mix-1124_llama,
historical_figure,Louise of Mecklenburg-Güstrow,Mecklenburg-Güstrow,255,2394,v4_olmo-mix-1124_llama,
historical_figure,Natalia Alexeievna of Russia,Russia,150,177278304,v4_olmo-mix-1124_llama,
historical_figure,"Peregrine Osborne, 2nd Duke of Leeds",Leeds,13,6007045,v4_olmo-mix-1124_llama,
historical_figure,Tobias Mayer,Mayer,12284,5979124,v4_olmo-mix-1124_llama,
historical_figure,Princess Mary of Great Britain,Britain,297,111502456,v4_olmo-mix-1124_llama,
historical_figure,Joseph Süß Oppenheimer,Oppenheimer,1135,2094989,v4_olmo-mix-1124_llama,
historical_figure,François de Cuvilliés,Cuvilliés,1127,4060,v4_olmo-mix-1124_llama,
historical_figure,Johann Jacob Dillenius,Dillenius,500,4225,v4_olmo-mix-1124_llama,
historical_figure,"Anthony Ulrich, Duke of Brunswick-Wolfenbüttel",Brunswick-Wolfenbüttel,137,17273,v4_olmo-mix-1124_llama,
historical_figure,Princess Christine Louise of Oettingen-Oettingen,Oettingen-Oettingen,129,1216,v4_olmo-mix-1124_llama,
historical_figure,Rudolf Jakob Camerarius,Camerarius,198,13874,v4_olmo-mix-1124_llama,
historical_figure,Georg Eberhard Rumphius,Rumphius,1307,27765,v4_olmo-mix-1124_llama,
historical_figure,"Louis Rudolph, Duke of Brunswick-Lüneburg",Brunswick-Lüneburg,66,36387,v4_olmo-mix-1124_llama,
historical_figure,Georg Wilhelm of Brunswick-Lüneburg-Celle,Brunswick-Lüneburg-Celle,0,167,v4_olmo-mix-1124_llama,
historical_figure,"Leopold II, Prince of Anhalt-Dessau",Anhalt-Dessau,46,14774,v4_olmo-mix-1124_llama,
historical_figure,Burkhard Christoph von Münnich,Münnich,519,9716,v4_olmo-mix-1124_llama,
historical_figure,Princess Sophia Dorothea of Prussia,Prussia,224,4473075,v4_olmo-mix-1124_llama,
historical_figure,Magdalena Sibylla of Hesse-Darmstadt,Hesse-Darmstadt,22,40893,v4_olmo-mix-1124_llama,
historical_figure,Gottfried Kirch,Kirch,3894,2432745,v4_olmo-mix-1124_llama,
historical_figure,"John William Friso, Prince of Orange",Orange,430,23533749,v4_olmo-mix-1124_llama,
historical_figure,Caspar Friedrich Wolff,Wolff,2053,3354789,v4_olmo-mix-1124_llama,
historical_figure,"Louis Eugene, Duke of Württemberg",Württemberg,5,279689,v4_olmo-mix-1124_llama,
historical_figure,Danylo Apostol,Apostol,1500,2192337,v4_olmo-mix-1124_llama,
historical_figure,"John Ernest IV, Duke of Saxe-Coburg-Saalfeld",Saxe-Coburg-Saalfeld,150,15354,v4_olmo-mix-1124_llama,
historical_figure,"Augustus William, Duke of Brunswick-Lüneburg",Brunswick-Lüneburg,7,36387,v4_olmo-mix-1124_llama,
historical_figure,"Melusine von der Schulenburg, Duchess of Kendal",Kendal,271,567210,v4_olmo-mix-1124_llama,
historical_figure,Johann Hedwig,Hedwig,278,728257,v4_olmo-mix-1124_llama,
historical_figure,Johann Gottlieb Gleditsch,Gleditsch,104,28679,v4_olmo-mix-1124_llama,
historical_figure,"Johann Wilhelm, Elector Palatine",Palatine,395,799739,v4_olmo-mix-1124_llama,
historical_figure,Johann Peter Süssmilch,Süssmilch,604,1695,v4_olmo-mix-1124_llama,
historical_figure,Christian Mayer,Mayer,3189,5979124,v4_olmo-mix-1124_llama,
historical_figure,Anne Henriette of Bavaria,Bavaria,108,3086364,v4_olmo-mix-1124_llama,
historical_figure,Jacob Theodor Klein,Klein,252,13233822,v4_olmo-mix-1124_llama,
historical_figure,Maximilian of Hesse-Kassel,Hesse-Kassel,105,51248,v4_olmo-mix-1124_llama,
historical_figure,Éléonore Desmier d'Olbreuse,d'Olbreuse,43,725,v4_olmo-mix-1124_llama,
